,time,open,high,low,close,volume
0,2020-12-07,1.8517,1.9006,1.8100,1.8299,4623318
1,2020-12-08,1.8287,1.8322,1.6271,1.6617,7473779
2,2020-12-09,1.6617,1.6724,1.4969,1.6553,7017013
3,2020-12-10,1.6552,1.6644,1.5409,1.5686,6532250
4,2020-12-11,1.5686,1.5778,1.4316,1.4406,6597970
5,2020-12-12,1.4394,1.5337,1.4362,1.4886,6893494
6,2020-12-13,1.4879,1.6500,1.4540,1.5636,9298357
7,2020-12-14,1.5640,1.6244,1.5198,1.5936,7690894
8,2020-12-15,1.5927,1.8012,1.5858,1.7534,15330195
9,2020-12-16,1.7534,1.7986,1.6000,1.7869,13742356
10,2020-12-17,1.7865,1.8167,1.6382,1.6808,11618488
11,2020-12-18,1.6800,1.7104,1.6317,1.7003,6732255
12,2020-12-19,1.7010,1.7695,1.6562,1.6683,7757307
13,2020-12-20,1.6673,1.6888,1.5178,1.5638,5851925
14,2020-12-21,1.5650,1.6198,1.4916,1.5347,5739528
15,2020-12-22,1.5353,1.5722,1.4696,1.4905,7486927
16,2020-12-23,1.4903,1.5133,1.0690,1.1975,14168317
17,2020-12-24,1.1975,1.3859,1.1574,1.3638,11726008
18,2020-12-25,1.3654,1.4514,1.3444,1.4448,8592846
19,2020-12-26,1.4447,1.4463,1.3069,1.3215,6201784
20,2020-12-27,1.3209,1.4148,1.2544,1.3023,11065395
21,2020-12-28,1.3027,1.5222,1.2857,1.5169,10974507
22,2020-12-29,1.5165,1.7293,1.4321,1.6660,24077341
23,2020-12-30,1.6661,1.6860,1.5152,1.5304,10523673
24,2020-12-31,1.5319,1.5445,1.4120,1.5040,10697724
25,2021-01-01,1.5043,1.8498,1.4890,1.8382,18813441
26,2021-01-02,1.8377,1.9951,1.7091,1.7976,22401546
27,2021-01-03,1.7978,2.3589,1.7956,2.1767,37747051
28,2021-01-04,2.1783,2.4900,1.8182,2.4832,35966844
29,2021-01-05,2.4803,2.5012,2.0527,2.1355,32981577
30,2021-01-06,2.1385,2.1578,1.6734,1.8753,52219666
31,2021-01-07,1.8722,2.7330,1.8123,2.3651,105584282
32,2021-01-08,2.3650,3.8480,2.1800,3.2220,70113587
33,2021-01-09,3.2220,3.7000,2.9100,3.3776,33590496
34,2021-01-10,3.3757,3.7640,3.1500,3.4460,21972369
35,2021-01-11,3.4453,3.5257,2.5833,3.0988,24846781
36,2021-01-12,3.0962,3.9040,3.0477,3.6276,22851398
37,2021-01-13,3.6290,3.6398,3.2472,3.5291,16335568
38,2021-01-14,3.5281,3.5674,3.1741,3.2949,16853114
39,2021-01-15,3.2949,3.4438,2.9739,3.2464,12931161
40,2021-01-16,3.2456,3.7157,3.1236,3.4259,20722357
41,2021-01-17,3.4249,4.0200,3.3001,3.8328,24880543
42,2021-01-18,3.8344,4.1747,3.5942,3.7933,19257223
43,2021-01-19,3.7944,4.0443,3.5953,3.6276,12280022
44,2021-01-20,3.6279,3.7353,3.3240,3.7133,12201173
45,2021-01-21,3.7153,3.7397,2.9451,2.9793,13284877
46,2021-01-22,2.9813,3.4972,2.5122,3.3286,20353781
47,2021-01-23,3.3282,3.6038,3.3000,3.5094,9414060
48,2021-01-24,3.5082,3.7928,3.4802,3.6369,8471238
49,2021-01-25,3.6353,3.9867,3.4400,3.7044,14159404
50,2021-01-26,3.7024,4.1073,3.6623,4.0447,19930228
51,2021-01-27,4.0430,4.0447,3.5183,3.6727,9791075
52,2021-01-28,3.6726,3.9681,3.5930,3.8139,7597138
53,2021-01-29,3.8115,3.9314,3.6340,3.8409,7962280
54,2021-01-30,3.8429,4.3318,3.7673,4.2462,10740707
55,2021-01-31,4.2440,4.8252,4.1620,4.2628,12918581
56,2021-02-01,4.2644,4.6234,4.0986,4.6234,7266915
57,2021-02-02,4.6200,5.4668,4.4649,5.2529,13922582
58,2021-02-03,5.2539,5.8225,5.0671,5.7373,9346987
59,2021-02-04,5.7373,6.5750,5.5813,6.4358,10586958
60,2021-02-05,6.4360,7.1800,6.4272,6.7101,10453016
61,2021-02-06,6.7116,6.8360,5.7099,6.1325,10613182
62,2021-02-07,6.1320,6.8786,5.7500,6.7037,11675131
63,2021-02-08,6.7028,8.1208,6.4777,7.8917,12187065
64,2021-02-09,7.8934,8.5344,7.5675,7.8335,9061306
65,2021-02-10,7.8412,9.1231,7.2879,9.1102,11384565
66,2021-02-11,9.1098,9.7175,8.7443,9.2215,10532781
67,2021-02-12,9.2197,9.9378,9.0606,9.2344,8241627
68,2021-02-13,9.2368,9.5429,8.6801,8.7627,8675628
69,2021-02-14,8.7649,9.2621,8.5616,8.7306,7992002
70,2021-02-15,8.7303,9.3467,7.5870,8.8695,9052035
71,2021-02-16,8.8762,9.0065,7.9613,8.3036,7326365
72,2021-02-17,8.3050,8.4721,7.5269,8.2533,8141648
73,2021-02-18,8.2552,9.3339,8.2552,8.9956,7757334
74,2021-02-19,8.9976,11.8291,8.5499,11.5096,14030591
75,2021-02-20,11.5140,11.7940,9.8169,9.9965,10415260
76,2021-02-21,9.9957,11.6436,9.8439,11.0851,9997068
77,2021-02-22,11.0805,14.5550,8.8800,14.3413,23095577
78,2021-02-23,14.3421,15.8026,11.3999,15.2413,35375505
79,2021-02-24,15.2513,18.1794,14.8462,17.2227,17533006
80,2021-02-25,17.2343,17.7942,13.7180,13.8484,13553123
81,2021-02-26,13.8489,15.5453,13.1035,13.5941,14325250
82,2021-02-27,13.5990,14.8596,12.9893,13.1900,11015216
83,2021-02-28,13.1862,13.7800,11.4245,13.1072,13172276
84,2021-03-01,13.0973,15.5512,13.0287,15.0036,10624143
85,2021-03-02,15.0005,15.2846,13.4200,13.9565,8405922
86,2021-03-03,13.9628,14.7641,13.7627,14.0941,8283702
87,2021-03-04,14.0915,14.2854,12.7583,13.0784,7098703
88,2021-03-05,13.0804,13.1057,12.1419,12.5659,6246948
89,2021-03-06,12.5576,13.3026,11.8944,13.0512,6367349
90,2021-03-07,13.0586,14.0407,12.7300,13.8450,6983603
91,2021-03-08,13.8493,13.9463,13.1000,13.6344,6024217
92,2021-03-09,13.6346,15.0332,13.3359,14.9102,7237374
93,2021-03-10,14.9155,15.2490,14.0550,14.2333,7702664
94,2021-03-11,14.2371,16.3334,13.6708,16.0763,10042978
95,2021-03-12,16.0798,16.5288,14.0713,14.5742,9227235
96,2021-03-13,14.5796,15.4449,13.9093,15.3216,7560873
97,2021-03-14,15.3267,15.4014,14.3662,14.4642,6264959
98,2021-03-15,14.4680,14.8548,13.6121,14.1840,6842673
99,2021-03-16,14.1823,14.3216,13.2504,13.6639,6764146
100,2021-03-17,13.6656,14.3129,13.0263,14.2288,6940124
101,2021-03-18,14.2327,14.7800,13.9803,14.2183,6142480
102,2021-03-19,14.2142,14.4937,13.8400,14.1535,5306402
103,2021-03-20,14.1579,14.9722,14.0978,14.1892,5604771
104,2021-03-21,14.1859,14.3876,13.6340,14.3395,5895698
105,2021-03-22,14.3346,16.6120,14.1739,14.7957,13944627
106,2021-03-23,14.8014,15.2136,14.0464,14.1420,7638553
107,2021-03-24,14.1468,15.3607,13.5712,13.5875,7704282
108,2021-03-25,13.5827,13.7016,12.5356,12.9776,8414030
109,2021-03-26,12.9801,14.7999,12.3500,14.7725,9559593
110,2021-03-27,14.7724,16.8346,14.7201,16.4803,11072721
111,2021-03-28,16.4774,19.4130,16.3408,18.1022,15997022
112,2021-03-29,18.1022,19.0470,17.6614,18.9811,9607545
113,2021-03-30,18.9847,20.9191,18.9662,19.0933,10133956
114,2021-03-31,19.0923,19.8747,18.0105,19.4044,8685490
115,2021-04-01,19.4048,20.4105,18.7493,19.0497,5780647
116,2021-04-02,19.0497,19.8812,18.5557,19.8353,4648128
117,2021-04-03,19.8292,23.8660,19.8025,22.4904,13481119
118,2021-04-04,22.4916,25.5801,21.9685,23.7879,10647138
119,2021-04-05,23.7908,24.7662,22.8012,23.0180,7207157
120,2021-04-06,23.0191,25.3590,21.6509,25.0987,8941838
121,2021-04-07,25.1125,27.5648,22.8753,26.5699,16231781
122,2021-04-08,26.5629,28.0273,25.6202,26.9589,9886841
123,2021-04-09,26.9531,29.1026,26.7555,27.6623,8043738
124,2021-04-10,27.6620,28.2954,26.0016,26.8349,6482835
125,2021-04-11,26.8371,28.6872,25.5402,27.9493,6392971
126,2021-04-12,27.9538,29.9394,26.8510,28.5850,7548934
127,2021-04-13,28.5847,28.8639,26.4022,27.5083,6326847
128,2021-04-14,27.5073,27.6151,24.5888,26.4194,8359229
129,2021-04-15,26.4313,28.2938,25.5516,27.7857,6805634
130,2021-04-16,27.7881,28.2903,24.9098,25.3449,7217962
131,2021-04-17,25.3440,26.8387,24.8000,24.8423,6771477
132,2021-04-18,24.8590,32.9957,18.8868,32.3492,22782222
133,2021-04-19,32.3739,36.0711,29.9007,31.5856,19779493
134,2021-04-20,31.6106,32.7206,28.8000,31.7022,13350389
135,2021-04-21,31.7328,35.1789,30.1356,32.6637,12459087
136,2021-04-22,32.6453,40.8878,31.5540,38.9341,21522070
137,2021-04-23,38.9302,41.5553,31.4618,37.3702,22844271
138,2021-04-24,37.3417,43.6400,34.6447,40.8663,16754195
139,2021-04-25,40.8604,48.5600,40.4248,47.3823,19686960
140,2021-04-26,47.3740,48.5420,43.3079,43.9698,13833593
141,2021-04-27,43.9778,46.6309,42.5670,43.2296,10375537
142,2021-04-28,43.2311,46.9880,40.6500,44.8884,12220284
143,2021-04-29,44.9065,46.1999,40.8900,42.4925,9494837
144,2021-04-30,42.4925,44.3370,41.2731,42.8771,6450482
145,2021-05-01,42.8771,50.0000,42.1103,49.7035,10657005
146,2021-05-02,49.7126,50.1542,46.0047,46.9593,8864773
147,2021-05-03,46.9537,49.1178,44.8000,46.0232,7884670
148,2021-05-04,46.0226,47.8893,42.2502,42.6551,9323174
149,2021-05-05,42.6666,46.0824,42.3507,45.0381,6524530
150,2021-05-06,45.0381,45.0731,42.5475,43.5641,5484122
151,2021-05-07,43.5628,46.2986,41.4650,43.2345,7708426
152,2021-05-08,43.2335,46.7000,42.3702,45.7022,6582638
153,2021-05-09,45.7108,47.1986,42.6106,44.3591,6989241
154,2021-05-10,44.3585,45.9866,38.2509,42.8909,6748573
155,2021-05-11,42.8901,45.1840,39.7320,44.6240,6247896
156,2021-05-12,44.6160,49.2010,42.0000,43.4840,12350550
157,2021-05-13,43.5640,45.4900,37.4310,41.0520,11761987
158,2021-05-14,41.0530,44.9690,39.8560,42.7410,6663570
159,2021-05-15,42.7350,45.5890,39.3980,43.5300,6765236
160,2021-05-16,43.5170,52.5830,41.8590,46.8660,17511515
161,2021-05-17,46.8700,52.0260,43.1000,46.7400,19506277
162,2021-05-18,46.7520,58.5830,46.0410,55.9500,16401065
163,2021-05-19,55.9680,57.6150,25.2280,34.9520,22469448
164,2021-05-20,34.9590,52.2160,32.1590,44.4310,20738815
165,2021-05-21,44.4260,47.7550,33.6910,38.9210,15997951
166,2021-05-22,38.9310,40.0000,31.1230,31.2250,12345674
167,2021-05-23,31.2230,32.3930,19.1270,24.5170,39076209
168,2021-05-24,24.5000,32.1990,24.4990,31.4170,20445803
169,2021-05-25,31.4330,33.2000,25.9390,30.0070,16986371
170,2021-05-26,30.0030,37.2900,28.7870,35.4200,13273303
171,2021-05-27,35.4190,35.6280,31.0100,33.7790,9777355
172,2021-05-28,33.7790,34.5610,27.9650,28.9930,10942059
173,2021-05-29,29.0020,30.0650,25.7040,27.3800,8798092
174,2021-05-30,27.3680,29.7590,25.6180,28.5900,8808295
175,2021-05-31,28.5820,33.0170,27.5130,32.7490,11211492
176,2021-06-01,32.7490,33.3300,29.8000,30.9550,10103008
177,2021-06-02,30.9420,35.0000,30.4000,33.9940,8588698
178,2021-06-03,33.9880,41.3560,33.7130,39.6270,15939033
179,2021-06-04,39.6460,39.7460,34.2250,37.3700,16417194
