,time,open,high,low,close,volume
0,2020-12-07,1.1550,1.1993,1.1239,1.1882,4961825
1,2020-12-08,1.1881,1.2355,1.0603,1.0759,11261008
2,2020-12-09,1.0754,1.1075,1.0350,1.0996,6071517
3,2020-12-10,1.1001,1.1062,1.0173,1.0508,3671883
4,2020-12-11,1.0510,1.0557,0.9795,1.0224,5009466
5,2020-12-12,1.0224,1.0710,1.0179,1.0528,3395734
6,2020-12-13,1.0530,1.0925,1.0322,1.0728,3217378
7,2020-12-14,1.0723,1.0739,1.0324,1.0611,2760854
8,2020-12-15,1.0612,1.1389,1.0566,1.1290,5629575
9,2020-12-16,1.1294,1.2060,1.0942,1.1895,14386764
10,2020-12-17,1.1903,1.2134,1.1191,1.1408,12171788
11,2020-12-18,1.1414,1.1824,1.1114,1.1604,6903935
12,2020-12-19,1.1602,1.2622,1.1500,1.2151,12044096
13,2020-12-20,1.2158,1.2161,1.1168,1.1378,7157593
14,2020-12-21,1.1375,1.1707,1.0491,1.0667,6310106
15,2020-12-22,1.0667,1.1908,1.0565,1.1165,11107783
16,2020-12-23,1.1168,1.1288,0.8735,0.9809,12279543
17,2020-12-24,0.9802,1.0483,0.9358,1.0438,6984376
18,2020-12-25,1.0444,1.0651,0.9993,1.0331,3448543
19,2020-12-26,1.0333,1.0345,0.9725,0.9838,3107835
20,2020-12-27,0.9850,1.0321,0.9426,1.0008,6259216
21,2020-12-28,1.0008,1.0926,0.9964,1.0146,6913135
22,2020-12-29,1.0143,1.1200,1.0141,1.0827,13337489
23,2020-12-30,1.0828,1.0911,1.0201,1.0373,3240716
24,2020-12-31,1.0373,1.0475,0.9906,1.0448,4697174
25,2021-01-01,1.0448,1.1345,1.0274,1.1326,9645007
26,2021-01-02,1.1335,1.1633,1.0422,1.0619,10605228
27,2021-01-03,1.0619,1.2031,1.0400,1.1904,10089101
28,2021-01-04,1.1899,1.3401,1.0472,1.3192,28762337
29,2021-01-05,1.3198,1.6156,1.1644,1.4845,41308033
30,2021-01-06,1.4851,1.5888,1.3509,1.4469,21704816
31,2021-01-07,1.4480,1.5840,1.3240,1.4034,19629982
32,2021-01-08,1.4025,1.8903,1.2488,1.6375,37689280
33,2021-01-09,1.6377,1.7900,1.5049,1.7349,28474382
34,2021-01-10,1.7337,1.9366,1.4800,1.6217,27590941
35,2021-01-11,1.6211,1.6263,1.2213,1.4126,22611797
36,2021-01-12,1.4119,1.5833,1.3090,1.4487,16296233
37,2021-01-13,1.4481,1.6918,1.3751,1.6620,13286777
38,2021-01-14,1.6613,1.7318,1.5723,1.6990,9920186
39,2021-01-15,1.7007,1.7567,1.4945,1.7142,15848964
40,2021-01-16,1.7158,1.9766,1.7000,1.7761,15091956
41,2021-01-17,1.7765,1.8539,1.6000,1.8180,11725371
42,2021-01-18,1.8184,2.0527,1.7803,1.9162,13594515
43,2021-01-19,1.9167,2.0228,1.7652,1.7980,7073877
44,2021-01-20,1.7984,1.8906,1.6488,1.8358,9293984
45,2021-01-21,1.8359,1.8472,1.5025,1.5391,8644915
46,2021-01-22,1.5361,1.7000,1.4216,1.6725,6938559
47,2021-01-23,1.6732,1.9496,1.6354,1.7665,8737210
48,2021-01-24,1.7675,1.9808,1.7262,1.9761,8494423
49,2021-01-25,1.9780,2.1845,1.8664,1.9039,13782857
50,2021-01-26,1.9041,2.2377,1.8695,2.2347,16940164
51,2021-01-27,2.2317,2.2351,1.8000,1.8867,10879380
52,2021-01-28,1.8853,2.0537,1.8233,1.9217,6883787
53,2021-01-29,1.9227,1.9359,1.8072,1.8914,6604906
54,2021-01-30,1.8915,2.1311,1.8114,2.0723,10666720
55,2021-01-31,2.0720,2.5000,2.0376,2.4929,20218905
56,2021-02-01,2.4907,2.9139,2.2520,2.8609,18888856
57,2021-02-02,2.8611,3.0599,2.6716,2.9720,10157681
58,2021-02-03,2.9734,2.9989,2.7210,2.8586,6907033
59,2021-02-04,2.8590,3.0400,2.6063,2.8738,8057939
60,2021-02-05,2.8745,3.4889,2.8745,3.1524,9643452
61,2021-02-06,3.1541,3.4980,2.8101,2.9119,9465523
62,2021-02-07,2.9127,2.9966,2.6088,2.8895,8947329
63,2021-02-08,2.8898,3.3150,2.7895,3.1467,12455414
64,2021-02-09,3.1469,3.5394,3.0676,3.3582,14816749
65,2021-02-10,3.3706,4.4866,2.9743,4.2341,22590628
66,2021-02-11,4.2374,4.5639,3.9240,4.1324,11923700
67,2021-02-12,4.1337,4.3926,3.9500,4.1801,6963019
68,2021-02-13,4.1820,4.5400,3.7929,4.1245,11033699
69,2021-02-14,4.1316,4.1871,3.6235,3.8293,7271479
70,2021-02-15,3.8309,4.0474,3.1654,3.6501,11691023
71,2021-02-16,3.6556,4.0086,3.4094,3.6223,7522781
72,2021-02-17,3.6200,4.0409,3.2616,3.8466,11274771
73,2021-02-18,3.8481,4.0722,3.7500,3.9919,7604776
74,2021-02-19,3.9945,5.2449,3.6925,5.1206,16301693
75,2021-02-20,5.1243,5.3499,4.2095,4.5663,15538136
76,2021-02-21,4.5711,5.1677,4.3987,4.8271,8918124
77,2021-02-22,4.8278,6.1000,3.9167,5.7169,23565348
78,2021-02-23,5.7148,7.5718,4.6532,6.9933,53468413
79,2021-02-24,6.9838,7.3427,6.1933,7.0226,21272886
80,2021-02-25,7.0226,8.1321,5.9048,6.0150,20099998
81,2021-02-26,6.0209,6.4350,5.2836,5.4833,18383389
82,2021-02-27,5.4812,5.7805,5.1463,5.2823,8744612
83,2021-02-28,5.2845,5.3154,4.2395,4.9828,13849327
84,2021-03-01,4.9848,5.9739,4.9072,5.6774,10237308
85,2021-03-02,5.6768,5.8552,4.8658,5.2860,9577965
86,2021-03-03,5.2867,5.7141,5.1707,5.3309,7682175
87,2021-03-04,5.3327,5.6173,4.7082,4.9692,6857756
88,2021-03-05,4.9715,5.0346,4.5313,4.8361,6201940
89,2021-03-06,4.8395,5.4640,4.7067,5.3217,4850616
90,2021-03-07,5.3229,6.4495,5.3209,5.9975,16577534
91,2021-03-08,5.9940,6.1546,5.6490,6.0750,7408097
92,2021-03-09,6.0807,6.5812,5.9590,6.4356,8156760
93,2021-03-10,6.4366,6.4659,5.7600,5.8659,6529998
94,2021-03-11,5.8659,6.2045,5.5450,5.8417,7389112
95,2021-03-12,5.8430,5.9852,5.2904,5.4908,7500377
96,2021-03-13,5.4878,6.1946,5.2352,6.0574,8565810
97,2021-03-14,6.0577,6.7400,5.7056,6.1969,13750530
98,2021-03-15,6.1906,6.4448,5.5346,5.6348,9502846
99,2021-03-16,5.6363,5.6664,5.1422,5.3757,8311380
100,2021-03-17,5.3818,5.4248,4.9000,5.3032,7441729
101,2021-03-18,5.3027,5.5300,5.1153,5.2041,7870891
102,2021-03-19,5.2040,5.4906,5.0018,5.2586,5200669
103,2021-03-20,5.2574,5.5553,5.0381,5.0619,6549788
104,2021-03-21,5.0635,5.1208,4.8579,5.0358,5775832
105,2021-03-22,5.0358,5.5980,4.7708,4.8478,12695788
106,2021-03-23,4.8481,5.0113,4.5806,4.6924,8607115
107,2021-03-24,4.6906,4.9972,4.0662,4.2325,9032737
108,2021-03-25,4.2323,4.3070,3.8773,4.0471,9193333
109,2021-03-26,4.0467,4.6604,4.0453,4.5940,6107099
110,2021-03-27,4.5935,4.7092,4.3396,4.6444,6000489
111,2021-03-28,4.6427,5.2056,4.5701,4.9301,9588775
112,2021-03-29,4.9292,5.2602,4.8160,5.2345,6461700
113,2021-03-30,5.2312,5.7761,5.2203,5.4051,10519344
114,2021-03-31,5.4052,5.5467,4.9700,5.5129,9501200
115,2021-04-01,5.5128,5.5800,5.1172,5.2663,5887859
116,2021-04-02,5.2666,5.9763,5.2036,5.9367,8198384
117,2021-04-03,5.9390,6.4420,5.5603,5.6948,18729845
118,2021-04-04,5.6963,6.7400,5.5977,6.5483,13404426
119,2021-04-05,6.5485,6.6169,6.0561,6.1234,8885724
120,2021-04-06,6.1286,6.3848,5.6433,6.3659,14673745
121,2021-04-07,6.3655,6.4659,5.3600,5.6829,16198163
122,2021-04-08,5.6843,6.1217,5.6376,6.0911,7990538
123,2021-04-09,6.0888,7.3311,5.8836,7.0366,20421340
