,time,open,high,low,close,volume
0,2020-12-07,0.3564,0.3578,0.3440,0.3515,3095507
1,2020-12-08,0.3512,0.3806,0.3430,0.3503,19197354
2,2020-12-09,0.3503,0.3514,0.3183,0.3388,7722207
3,2020-12-10,0.3391,0.3510,0.3200,0.3414,8611360
4,2020-12-11,0.3420,0.3469,0.3197,0.3290,13724150
5,2020-12-12,0.3285,0.3471,0.3284,0.3430,4933205
6,2020-12-13,0.3434,0.3558,0.3398,0.3510,4056761
7,2020-12-14,0.3508,0.3512,0.3405,0.3461,3743846
8,2020-12-15,0.3461,0.3580,0.3396,0.3580,4300714
9,2020-12-16,0.3577,0.3712,0.3503,0.3637,11069009
10,2020-12-17,0.3635,0.3796,0.3518,0.3556,14253551
11,2020-12-18,0.3557,0.3651,0.3469,0.3632,6887401
12,2020-12-19,0.3633,0.4048,0.3633,0.3820,20605220
13,2020-12-20,0.3822,0.3844,0.3473,0.3588,9839256
14,2020-12-21,0.3588,0.3715,0.3291,0.3409,12331989
15,2020-12-22,0.3411,0.3483,0.3266,0.3398,11207667
16,2020-12-23,0.3399,0.3435,0.2526,0.2777,16867336
17,2020-12-24,0.2775,0.3097,0.2595,0.3092,22093369
18,2020-12-25,0.3087,0.3142,0.2898,0.3007,14343239
19,2020-12-26,0.3006,0.3044,0.2849,0.2949,8853743
20,2020-12-27,0.2949,0.3172,0.2865,0.2979,25800809
21,2020-12-28,0.2975,0.3221,0.2956,0.3125,16930265
22,2020-12-29,0.3127,0.3179,0.2810,0.2987,20221340
23,2020-12-30,0.2991,0.3022,0.2841,0.2915,6544838
24,2020-12-31,0.2915,0.2927,0.2750,0.2918,14841823
25,2021-01-01,0.2919,0.3052,0.2869,0.2952,12196475
26,2021-01-02,0.2955,0.2980,0.2850,0.2932,7557069
27,2021-01-03,0.2935,0.3237,0.2921,0.3143,40577550
28,2021-01-04,0.3143,0.3412,0.2815,0.3042,33972000
29,2021-01-05,0.3041,0.3221,0.2845,0.3115,30300449
30,2021-01-06,0.3118,0.3581,0.3063,0.3533,30934970
31,2021-01-07,0.3536,0.3816,0.3260,0.3481,33597040
32,2021-01-08,0.3482,0.4221,0.3141,0.3807,57572556
33,2021-01-09,0.3812,0.4389,0.3587,0.3999,51574957
34,2021-01-10,0.4001,0.4820,0.3639,0.4041,80893128
35,2021-01-11,0.4039,0.4052,0.2900,0.3312,58146413
36,2021-01-12,0.3312,0.3476,0.3068,0.3259,19991128
37,2021-01-13,0.3262,0.3570,0.3139,0.3566,11774817
38,2021-01-14,0.3563,0.3834,0.3430,0.3782,20641469
39,2021-01-15,0.3783,0.3836,0.3257,0.3597,26870751
40,2021-01-16,0.3597,0.4166,0.3551,0.3845,40972996
41,2021-01-17,0.3848,0.4279,0.3619,0.4166,43883064
42,2021-01-18,0.4171,0.4546,0.3858,0.4282,39115393
43,2021-01-19,0.4283,0.4461,0.4021,0.4082,33637927
44,2021-01-20,0.4082,0.4301,0.3705,0.4067,34649164
45,2021-01-21,0.4066,0.4102,0.3512,0.3555,33432392
46,2021-01-22,0.3551,0.3992,0.3247,0.3823,35150362
47,2021-01-23,0.3825,0.4052,0.3656,0.3863,29006912
48,2021-01-24,0.3863,0.4190,0.3814,0.4127,39369527
49,2021-01-25,0.4127,0.4176,0.3815,0.3882,22429696
50,2021-01-26,0.3877,0.4282,0.3738,0.4274,40544887
51,2021-01-27,0.4274,0.4285,0.3574,0.3714,26977459
52,2021-01-28,0.3714,0.4113,0.3625,0.3954,20535707
53,2021-01-29,0.3954,0.4505,0.3946,0.4457,31877516
54,2021-01-30,0.4461,0.4537,0.4159,0.4348,19420558
55,2021-01-31,0.4351,0.4636,0.4180,0.4302,38759056
56,2021-02-01,0.4301,0.4588,0.4117,0.4475,20384561
57,2021-02-02,0.4475,0.4600,0.4327,0.4495,19510256
58,2021-02-03,0.4495,0.4933,0.4493,0.4735,20782490
59,2021-02-04,0.4738,0.4891,0.4215,0.4647,28886050
60,2021-02-05,0.4645,0.5499,0.4605,0.5346,44883852
61,2021-02-06,0.5348,0.5756,0.4740,0.5068,38141404
62,2021-02-07,0.5070,0.5278,0.4593,0.5258,34698135
63,2021-02-08,0.5257,0.5477,0.5055,0.5277,22415579
64,2021-02-09,0.5281,0.6286,0.5240,0.6263,32386047
65,2021-02-10,0.6272,0.6500,0.5301,0.6008,32128448
66,2021-02-11,0.6010,0.7500,0.5833,0.6907,50728514
67,2021-02-12,0.6922,0.7797,0.6559,0.7485,30987284
68,2021-02-13,0.7485,0.8522,0.6848,0.7755,44776022
69,2021-02-14,0.7759,0.9294,0.7375,0.9187,73332851
70,2021-02-15,0.9165,0.9200,0.6861,0.8249,48958826
71,2021-02-16,0.8264,0.8421,0.7512,0.7913,19316243
72,2021-02-17,0.7913,0.8191,0.7127,0.7850,30076404
73,2021-02-18,0.7857,0.8254,0.7610,0.8050,15742546
74,2021-02-19,0.8057,0.8971,0.7403,0.8452,30214136
75,2021-02-20,0.8465,0.9148,0.7492,0.7956,32870076
76,2021-02-21,0.7949,0.9202,0.7722,0.8439,29815550
77,2021-02-22,0.8444,0.8490,0.6085,0.7353,37224932
