,time,open,high,low,close,volume
0,2020-12-07,2.1845,2.4922,2.1050,2.4058,78257842
1,2020-12-08,2.4058,2.4696,2.0336,2.1201,90394575
2,2020-12-09,2.1198,2.3147,1.9649,2.2156,61807592
3,2020-12-10,2.2156,2.2360,2.0900,2.1568,42961163
4,2020-12-11,2.1565,2.1685,1.8902,1.9336,58988441
5,2020-12-12,1.9339,2.2100,1.9224,2.1518,43847567
6,2020-12-13,2.1535,2.4300,2.1419,2.3860,51382875
7,2020-12-14,2.3855,2.5980,2.2515,2.5636,49809413
8,2020-12-15,2.5634,2.8066,2.5127,2.7156,75186030
9,2020-12-16,2.7158,2.9556,2.5391,2.8499,77318604
10,2020-12-17,2.8481,2.9796,2.6179,2.6812,66244071
11,2020-12-18,2.6813,2.8699,2.5837,2.8245,40873048
12,2020-12-19,2.8255,3.0941,2.7100,2.8696,45941488
13,2020-12-20,2.8686,2.9400,2.6350,2.7032,35297195
14,2020-12-21,2.7027,2.7868,2.4310,2.5082,39813699
15,2020-12-22,2.5081,2.7642,2.3000,2.7199,46398429
16,2020-12-23,2.7192,2.7648,1.0600,2.2145,92057680
17,2020-12-24,2.2143,2.6119,1.9694,2.5904,78454308
18,2020-12-25,2.5901,2.6912,2.3687,2.5278,39910667
19,2020-12-26,2.5289,2.5406,2.3103,2.3962,34109383
20,2020-12-27,2.3955,2.7299,2.3009,2.6276,42116505
21,2020-12-28,2.6279,2.9077,2.5646,2.6218,38870416
22,2020-12-29,2.6227,2.6803,2.3705,2.5119,31834578
23,2020-12-30,2.5117,2.7476,2.3920,2.5858,29711268
24,2020-12-31,2.5871,2.9373,2.4500,2.8709,36706446
25,2021-01-01,2.8720,3.3400,2.7969,3.3337,54245922
26,2021-01-02,3.3327,3.3746,3.0107,3.2034,46837243
27,2021-01-03,3.2036,3.5961,2.9410,3.4631,51100122
28,2021-01-04,3.4635,4.1823,3.2000,3.5730,59094672
29,2021-01-05,3.5713,4.0141,3.1123,3.8612,51315074
30,2021-01-06,3.8646,4.1499,3.5333,3.8818,38961780
31,2021-01-07,3.8855,4.3999,3.5095,3.9551,45439905
32,2021-01-08,3.9559,4.5143,3.2466,4.2893,57755232
33,2021-01-09,4.2903,5.0425,4.1765,4.6736,42689107
34,2021-01-10,4.6759,4.8899,4.0164,4.3953,29572120
35,2021-01-11,4.3948,4.4215,3.1809,3.8750,53809624
36,2021-01-12,3.8750,4.6596,3.6820,4.2798,38609781
37,2021-01-13,4.2804,5.2079,3.9808,5.1235,35349264
38,2021-01-14,5.1276,5.7776,5.0006,5.6642,31402020
39,2021-01-15,5.6645,6.9397,5.3408,6.4061,41096937
40,2021-01-16,6.4061,7.5150,6.1125,7.1529,27655363
41,2021-01-17,7.1519,7.8112,6.8019,7.0513,24634534
42,2021-01-18,7.0547,7.7444,6.8300,7.4873,17995083
43,2021-01-19,7.4944,7.7200,6.1551,6.5321,21987705
44,2021-01-20,6.5277,7.3248,6.0700,7.3001,24711096
45,2021-01-21,7.2971,7.3494,5.3955,5.6084,27643823
46,2021-01-22,5.6083,7.0007,5.2122,6.7338,24496270
47,2021-01-23,6.7360,7.4468,6.5858,7.0861,16209491
48,2021-01-24,7.0880,8.4945,6.9798,8.3350,22598948
49,2021-01-25,8.3354,11.2499,7.4300,7.6362,32351210
50,2021-01-26,7.6338,8.4240,6.7921,8.1796,26749359
51,2021-01-27,8.1782,8.2185,6.9300,7.0772,22466970
52,2021-01-28,7.0771,8.7650,6.9246,8.2695,21226285
53,2021-01-29,8.2675,9.0553,7.7638,8.9939,18027208
54,2021-01-30,8.9860,10.4200,8.3744,10.4052,19054845
55,2021-01-31,10.4009,11.3812,9.6645,10.1353,24178172
56,2021-02-01,10.1391,13.1044,9.7511,13.0331,22245111
57,2021-02-02,13.0330,13.8685,12.2100,12.6541,22083993
58,2021-02-03,12.6583,14.8837,12.4677,14.2323,17140484
59,2021-02-04,14.2292,17.0000,14.0076,15.3801,21545157
60,2021-02-05,15.3792,16.0025,14.6792,15.0174,14007252
61,2021-02-06,15.0149,15.5047,13.0000,13.8051,18178565
62,2021-02-07,13.8189,14.0909,11.4000,13.1733,18746095
63,2021-02-08,13.1739,14.8050,12.6422,14.1530,16869659
64,2021-02-09,14.1603,15.0938,13.5697,14.3039,14828178
65,2021-02-10,14.3172,15.9600,13.6311,14.8892,19107795
66,2021-02-11,14.8736,17.6832,13.8389,16.8495,18302548
67,2021-02-12,16.8424,17.4197,15.5000,16.6098,14727424
68,2021-02-13,16.6176,17.2823,15.6829,16.0143,11612837
69,2021-02-14,16.0233,16.4079,14.8009,14.9533,11135250
70,2021-02-15,14.9533,18.4400,11.5930,17.2582,26425996
71,2021-02-16,17.2534,17.9838,15.5652,16.4874,15212897
72,2021-02-17,16.4833,17.1860,14.6153,16.2063,14607451
73,2021-02-18,16.2109,17.0442,15.5239,15.8355,10729748
74,2021-02-19,15.8368,15.9647,13.9269,14.5788,15376465
75,2021-02-20,14.5788,19.8258,14.4375,18.3370,31248525
76,2021-02-21,18.3225,19.4273,16.8800,17.3316,15065030
77,2021-02-22,17.3343,17.4055,12.0000,16.6076,23668565
78,2021-02-23,16.6081,17.3701,11.3666,14.8481,26225235
79,2021-02-24,14.8305,15.8036,13.5416,14.7080,14859299
80,2021-02-25,14.6966,17.1029,14.1645,14.3557,16902275
81,2021-02-26,14.3605,16.5881,13.0311,15.3372,19181907
82,2021-02-27,15.3316,17.5958,15.2819,16.2813,17502309
83,2021-02-28,16.2843,16.3817,13.5954,15.0904,16433241
84,2021-03-01,15.0862,18.8851,14.9720,18.8671,15893443
85,2021-03-02,18.8671,20.8001,16.7123,17.8373,26880400
86,2021-03-03,17.8444,19.1752,17.2150,17.4182,17101809
87,2021-03-04,17.4170,18.9500,16.9939,17.3646,16310532
88,2021-03-05,17.3578,17.3719,15.5513,16.6103,14730434
89,2021-03-06,16.6128,17.0373,15.7623,16.5974,9540446
90,2021-03-07,16.5987,18.1952,16.3084,17.9734,12889457
91,2021-03-08,17.9600,18.2392,16.7000,17.2671,12328695
92,2021-03-09,17.2716,20.2886,17.1228,19.7135,16456188
93,2021-03-10,19.7087,19.9035,17.6493,17.9511,13520014
94,2021-03-11,17.9529,19.3085,17.0539,18.6449,14235266
95,2021-03-12,18.6413,19.6043,18.0400,19.3843,14452672
96,2021-03-13,19.3780,23.4732,18.9215,22.8176,21907805
97,2021-03-14,22.8194,23.0436,20.3673,20.6552,13305726
98,2021-03-15,20.6479,21.9235,19.5387,19.8155,12614568
99,2021-03-16,19.8100,20.8053,18.5702,20.2361,11868120
100,2021-03-17,20.2323,20.4153,19.1028,19.9238,7954164
101,2021-03-18,19.9248,20.3608,19.5543,19.7401,8343073
102,2021-03-19,19.7361,20.6433,18.9895,20.3070,7486315
103,2021-03-20,20.2992,21.1196,19.4302,19.4749,7144044
104,2021-03-21,19.4736,19.7358,18.4126,18.8692,7175734
105,2021-03-22,18.8696,19.1567,17.2356,17.3304,8057604
106,2021-03-23,17.3327,17.8105,16.3554,16.4191,8666344
107,2021-03-24,16.4229,17.4700,14.4013,14.9278,11518308
108,2021-03-25,14.9326,15.4143,14.0962,14.8465,13775799
109,2021-03-26,14.8391,16.9381,14.8320,16.8412,8831777
110,2021-03-27,16.8386,16.9700,15.8583,16.2089,7362578
111,2021-03-28,16.2101,16.5801,14.8945,15.2818,8289132
112,2021-03-29,15.2822,16.1680,15.0650,15.8417,9322718
113,2021-03-30,15.8457,16.0152,15.3028,15.4492,9246679
114,2021-03-31,15.4499,15.7237,14.0965,14.7353,13657802
115,2021-04-01,14.7428,15.3036,14.5150,14.8969,10905347
116,2021-04-02,14.8945,16.5744,14.6651,16.4739,13884962
117,2021-04-03,16.4708,16.6226,14.5900,14.8493,12811662
118,2021-04-04,14.8480,15.4997,14.6060,15.2615,8273805
119,2021-04-05,15.2614,15.7407,14.7107,15.1060,10456711
120,2021-04-06,15.1092,15.9729,14.8111,15.3563,13067636
121,2021-04-07,15.3571,15.5330,13.3000,13.8887,14927714
122,2021-04-08,13.8868,14.6982,13.7607,14.4464,8131924
123,2021-04-09,14.4441,15.4272,14.3610,14.5403,11180168
124,2021-04-10,14.5426,15.2153,14.1000,14.5168,8509850
125,2021-04-11,14.5162,14.6015,14.0171,14.2184,6958266
126,2021-04-12,14.2180,16.4362,13.9211,16.0834,21991142
127,2021-04-13,16.0868,16.5221,15.3159,15.8773,13645634
128,2021-04-14,15.8819,17.7344,15.7002,17.5271,17106457
129,2021-04-15,17.5271,18.5000,17.1930,17.5893,12645814
130,2021-04-16,17.5916,17.7028,15.6292,16.2830,12223280
131,2021-04-17,16.2830,16.9409,15.4652,15.8637,10337887
132,2021-04-18,15.8651,16.0879,8.2916,14.0174,48780487
133,2021-04-19,14.0228,14.5024,11.8529,12.1680,22098955
134,2021-04-20,12.1645,12.8366,11.0900,12.7097,17169209
135,2021-04-21,12.7050,13.5334,11.8249,12.4717,15274010
136,2021-04-22,12.4638,14.3422,12.0095,12.3123,21000354
137,2021-04-23,12.3144,12.6184,10.1112,11.8263,23123051
138,2021-04-24,11.8264,11.8502,10.5007,10.7080,12842004
139,2021-04-25,10.7133,11.6748,10.3244,10.9823,9888494
140,2021-04-26,10.9820,12.4933,10.8871,12.1553,8981280
141,2021-04-27,12.1562,14.4808,11.9515,14.3023,11760516
142,2021-04-28,14.3058,14.5835,12.9260,14.3229,14456919
143,2021-04-29,14.3189,14.8986,13.5754,14.0625,12066436
144,2021-04-30,14.0621,14.6992,13.8119,14.3564,8589513
145,2021-05-01,14.3619,15.1821,14.2582,14.8080,9552454
146,2021-05-02,14.8113,14.8872,13.7487,13.9111,9674163
