,time,open,high,low,close,volume
0,2020-12-07,0.9099,0.9298,0.8885,0.9131,17146544.6
1,2020-12-08,0.9131,0.9230,0.8400,0.8538,24032293.2
2,2020-12-09,0.8539,0.8645,0.7843,0.8554,29394405.9
3,2020-12-10,0.8554,0.8653,0.8234,0.8406,14695138.1
4,2020-12-11,0.8406,0.8432,0.7952,0.8045,21161651.1
5,2020-12-12,0.8040,0.8759,0.8031,0.8657,15553533.3
6,2020-12-13,0.8657,0.8717,0.8257,0.8521,25410532.4
7,2020-12-14,0.8521,0.8610,0.8230,0.8576,17633647.3
8,2020-12-15,0.8575,0.9523,0.8424,0.9357,33214065.8
9,2020-12-16,0.9358,0.9578,0.8918,0.9379,38516432.1
10,2020-12-17,0.9378,0.9950,0.8928,0.9205,55223197.3
11,2020-12-18,0.9205,0.9411,0.8985,0.9283,22855526.0
12,2020-12-19,0.9284,0.9609,0.9217,0.9306,20348009.7
13,2020-12-20,0.9306,0.9482,0.8904,0.9131,19116175.8
14,2020-12-21,0.9130,0.9271,0.8302,0.8539,27734052.8
15,2020-12-22,0.8540,0.8618,0.8050,0.8382,24800927.5
16,2020-12-23,0.8379,0.8533,0.5520,0.6223,84662625.3
17,2020-12-24,0.6228,0.7296,0.5908,0.7268,54369518.2
18,2020-12-25,0.7272,0.7591,0.6747,0.7105,32370960.0
19,2020-12-26,0.7104,0.7108,0.6509,0.6902,28863468.0
20,2020-12-27,0.6903,0.7225,0.6464,0.6714,39807139.3
21,2020-12-28,0.6719,0.7196,0.6552,0.6723,34705803.4
22,2020-12-29,0.6723,0.6827,0.6023,0.6404,45377533.2
23,2020-12-30,0.6405,0.6885,0.6336,0.6755,34062971.0
24,2020-12-31,0.6757,0.7445,0.6425,0.7411,35626430.2
25,2021-01-01,0.7414,0.7719,0.6767,0.7136,39652173.1
26,2021-01-02,0.7137,0.7630,0.6873,0.7486,36906829.0
27,2021-01-03,0.7488,0.8345,0.7375,0.7749,94022107.6
28,2021-01-04,0.7748,0.9231,0.6742,0.7327,116957542.0
29,2021-01-05,0.7327,0.7800,0.6906,0.7573,63963645.3
30,2021-01-06,0.7573,0.8500,0.7200,0.8300,86407488.5
31,2021-01-07,0.8305,0.9490,0.7510,0.8731,136946236.3
32,2021-01-08,0.8731,0.9916,0.7764,0.9823,154746706.4
33,2021-01-09,0.9823,1.1180,0.9521,1.0427,119752646.2
34,2021-01-10,1.0430,1.1948,0.8852,1.0134,126533476.4
35,2021-01-11,1.0134,1.0210,0.7341,0.8459,142781845.2
36,2021-01-12,0.8459,0.8977,0.7943,0.8126,60901687.5
37,2021-01-13,0.8129,0.9119,0.7778,0.8861,62146047.0
38,2021-01-14,0.8857,0.9106,0.8406,0.8826,57776677.3
39,2021-01-15,0.8833,0.9995,0.8138,0.9042,90615052.9
40,2021-01-16,0.9048,1.0150,0.9000,0.9530,74268399.4
41,2021-01-17,0.9533,1.0500,0.8918,1.0308,61217061.6
42,2021-01-18,1.0307,1.1550,0.9532,1.1530,95452571.5
43,2021-01-19,1.1535,1.1656,0.9726,1.0081,73207994.4
44,2021-01-20,1.0067,1.0386,0.9240,1.0209,61963963.9
45,2021-01-21,1.0210,1.0273,0.8200,0.8494,60025763.2
46,2021-01-22,0.8494,0.9461,0.8005,0.8888,55656479.1
47,2021-01-23,0.8890,1.0399,0.8746,0.9820,75657465.4
48,2021-01-24,0.9827,1.0500,0.9651,0.9934,47633608.4
49,2021-01-25,0.9939,1.1122,0.9520,0.9778,80659467.2
50,2021-01-26,0.9778,1.0549,0.9420,1.0305,66391986.5
51,2021-01-27,1.0307,1.3848,1.0264,1.2558,222741144.4
52,2021-01-28,1.2567,1.3753,1.2050,1.2128,111781993.5
53,2021-01-29,1.2132,1.3600,1.0947,1.2370,104298096.6
54,2021-01-30,1.2364,1.3666,1.1721,1.2554,73103030.6
55,2021-01-31,1.2557,1.4768,1.2552,1.3588,94013139.1
56,2021-02-01,1.3590,1.4298,1.2100,1.2841,78430967.5
57,2021-02-02,1.2850,1.3955,1.2106,1.3237,63353051.7
58,2021-02-03,1.3241,1.5647,1.3201,1.5338,96835469.1
59,2021-02-04,1.5330,1.8771,1.3125,1.7261,141702982.8
60,2021-02-05,1.7269,1.9400,1.7000,1.7704,79923248.1
61,2021-02-06,1.7710,1.8361,1.5500,1.7608,79812885.2
62,2021-02-07,1.7602,2.1780,1.7432,1.9953,126266716.4
63,2021-02-08,1.9960,2.4553,1.9808,2.2231,95500696.8
64,2021-02-09,2.2217,2.5738,2.1600,2.4385,77272391.9
65,2021-02-10,2.4403,2.7538,2.0612,2.3631,108525531.4
66,2021-02-11,2.3641,2.9867,2.3627,2.6222,111915907.2
67,2021-02-12,2.6203,3.0000,2.6128,2.8298,63103130.3
68,2021-02-13,2.8305,2.9633,2.4549,2.7154,57214927.4
69,2021-02-14,2.7157,2.7482,2.1548,2.3157,102505486.9
70,2021-02-15,2.3151,2.4200,1.7200,2.1986,155005576.8
71,2021-02-16,2.1986,2.4181,2.1019,2.2293,74316619.7
72,2021-02-17,2.2282,2.5586,1.9859,2.4867,73431596.9
73,2021-02-18,2.4867,3.1809,2.3875,3.1207,128404056.4
74,2021-02-19,3.1165,3.7950,2.9121,3.4907,143456025.6
75,2021-02-20,3.4892,3.7548,2.5089,3.0189,99667082.1
76,2021-02-21,3.0170,3.3976,2.9057,3.0919,90148469.4
77,2021-02-22,3.0922,3.1136,2.2345,2.8330,114117673.1
78,2021-02-23,2.8340,2.8502,1.6230,2.2909,187742093.7
79,2021-02-24,2.2912,2.5510,2.1134,2.3023,87639563.1
80,2021-02-25,2.3010,2.7462,2.2372,2.2755,82518566.4
81,2021-02-26,2.2761,2.4424,2.0200,2.2268,87278631.8
82,2021-02-27,2.2264,2.3678,2.1634,2.2248,44804198.7
83,2021-02-28,2.2238,2.2523,1.8225,1.9918,64681391.8
84,2021-03-01,1.9938,2.2695,1.9600,2.2508,56614463.2
85,2021-03-02,2.2511,2.3821,2.1025,2.2323,53371921.7
86,2021-03-03,2.2342,2.7750,2.2031,2.6084,78781110.6
87,2021-03-04,2.6089,2.7474,2.2834,2.4347,74043368.5
88,2021-03-05,2.4358,2.4367,2.2207,2.3855,45602557.5
89,2021-03-06,2.3844,2.4242,2.2522,2.3790,28474692.2
90,2021-03-07,2.3786,2.7324,2.3773,2.5936,48649962.6
91,2021-03-08,2.5928,2.9925,2.5108,2.8699,67108179.4
92,2021-03-09,2.8707,3.1459,2.8203,3.0059,60377305.0
93,2021-03-10,3.0063,3.4270,2.7671,3.1456,87420454.2
94,2021-03-11,3.1463,3.7897,3.0367,3.4241,111050601.3
95,2021-03-12,3.4243,3.6900,3.0570,3.2787,92123935.1
96,2021-03-13,3.2771,3.2863,2.9298,3.0482,72591184.1
97,2021-03-14,3.0504,3.3484,2.8300,3.0314,89260371.0
98,2021-03-15,3.0339,3.2351,2.7481,2.8785,75523748.1
99,2021-03-16,2.8771,3.2864,2.7100,3.1590,74605845.7
100,2021-03-17,3.1605,3.2959,2.9600,3.2198,64675827.7
101,2021-03-18,3.2208,3.5200,3.1500,3.3664,66888280.1
102,2021-03-19,3.3678,3.9900,3.2141,3.9829,89544296.4
103,2021-03-20,3.9825,4.1551,3.5503,3.5761,88139395.0
104,2021-03-21,3.5743,3.9600,3.4350,3.8254,81965092.4
105,2021-03-22,3.8251,4.0055,3.3160,3.3817,87788860.4
106,2021-03-23,3.3835,3.5083,3.1344,3.2610,77039133.1
107,2021-03-24,3.2609,3.5102,2.6102,2.8760,99016524.1
108,2021-03-25,2.8727,2.9283,2.6074,2.7677,102876982.3
109,2021-03-26,2.7668,3.1227,2.7632,3.0450,63599144.3
110,2021-03-27,3.0449,3.1833,2.9100,3.1665,53999981.7
111,2021-03-28,3.1654,3.3413,3.0024,3.1081,56140844.9
112,2021-03-29,3.1082,3.3325,3.0422,3.3047,42064645.4
113,2021-03-30,3.3040,3.7588,3.2426,3.6515,77006896.8
114,2021-03-31,3.6515,3.7671,3.2172,3.4980,63011608.2
115,2021-04-01,3.4983,3.8342,3.4165,3.6793,53184485.8
116,2021-04-02,3.6791,3.7969,3.5726,3.7456,36301709.1
117,2021-04-03,3.7456,3.9087,3.3740,3.3815,53364320.8
118,2021-04-04,3.3815,4.4735,3.2855,4.4689,106921765.2
119,2021-04-05,4.4687,5.3929,4.1148,4.7320,128315927.0
120,2021-04-06,4.7343,5.0335,4.2100,4.6443,96561010.9
121,2021-04-07,4.6458,4.8618,3.8100,4.0949,101025964.9
122,2021-04-08,4.0938,4.9073,4.0309,4.6838,74589191.1
123,2021-04-09,4.6834,4.9416,4.4752,4.7790,65261780.5
124,2021-04-10,4.7786,5.5130,4.7264,5.1867,90419250.9
125,2021-04-11,5.1878,5.2817,4.7869,5.0440,51194685.3
126,2021-04-12,5.0442,5.2000,4.5900,4.7423,52778178.1
127,2021-04-13,4.7433,4.8833,4.4511,4.6265,56481457.5
128,2021-04-14,4.6271,4.9899,4.3400,4.5212,84180113.4
129,2021-04-15,4.5212,4.9200,4.3800,4.6998,70716009.0
130,2021-04-16,4.7000,5.1250,4.4000,4.8900,91792858.9
131,2021-04-17,4.8900,5.1571,4.5931,4.6296,59226321.8
132,2021-04-18,4.6308,4.6812,2.5413,4.1191,164742975.2
