,time,open,high,low,close,volume
0,2021-07-16,0.2904,0.2904,0.1711,0.1796,546085941
1,2021-07-17,0.1796,0.1929,0.1609,0.1703,694396709
2,2021-07-18,0.1704,0.2190,0.1684,0.1980,1096409552
3,2021-07-19,0.1980,0.2114,0.1529,0.1607,783616655
4,2021-07-20,0.1608,0.1633,0.1287,0.1359,1005700241
5,2021-07-21,0.1358,0.1812,0.1314,0.1766,1352820745
6,2021-07-22,0.1764,0.1970,0.1701,0.1721,1325363791
7,2021-07-23,0.1721,0.2682,0.1721,0.2448,1860210275
8,2021-07-24,0.2447,0.3071,0.2282,0.2849,2441092904
9,2021-07-25,0.2849,0.3748,0.2390,0.3689,3219272631
10,2021-07-26,0.3688,0.3697,0.2625,0.2744,1967915087
11,2021-07-27,0.2742,0.3528,0.2510,0.3238,2263631538
12,2021-07-28,0.3240,0.3450,0.2850,0.2943,1070241886
13,2021-07-29,0.2945,0.3215,0.2800,0.2930,898143042
14,2021-07-30,0.2930,0.3091,0.2687,0.2877,856913938
15,2021-07-31,0.2878,0.3295,0.2812,0.3057,1054440733
16,2021-08-01,0.3059,0.3085,0.2752,0.2838,762304058
17,2021-08-02,0.2837,0.3039,0.2769,0.2808,563572254
18,2021-08-03,0.2811,0.2847,0.2510,0.2625,584831425
19,2021-08-04,0.2627,0.2885,0.2571,0.2768,645186524
20,2021-08-05,0.2770,0.2870,0.2624,0.2780,603947189
21,2021-08-06,0.2781,0.3107,0.2682,0.2897,1005505880
22,2021-08-07,0.2896,0.3050,0.2698,0.2816,769998802
23,2021-08-08,0.2816,0.2967,0.2594,0.2689,666224799
24,2021-08-09,0.2687,0.2894,0.2556,0.2805,666523964
25,2021-08-10,0.2804,0.3224,0.2744,0.3104,1139590272
26,2021-08-11,0.3106,0.3269,0.2832,0.2881,867876719
27,2021-08-12,0.2881,0.3050,0.2631,0.2711,765429016
28,2021-08-13,0.2712,0.2996,0.2711,0.2928,569231751
29,2021-08-14,0.2930,0.3124,0.2750,0.2896,716871615
30,2021-08-15,0.2897,0.3445,0.2860,0.3208,1518698572
31,2021-08-16,0.3208,0.3400,0.2844,0.2971,1048359941
32,2021-08-17,0.2971,0.3161,0.2683,0.2768,818300890
33,2021-08-18,0.2768,0.2833,0.2367,0.2599,1010148032
34,2021-08-19,0.2597,0.2746,0.2459,0.2741,627086571
35,2021-08-20,0.2741,0.2850,0.2638,0.2782,502959681
36,2021-08-21,0.2781,0.3149,0.2645,0.2911,1105474769
37,2021-08-22,0.2912,0.3044,0.2747,0.2867,598918734
38,2021-08-23,0.2868,0.3100,0.2850,0.3022,723567723
39,2021-08-24,0.3022,0.3050,0.2605,0.2701,832053056
40,2021-08-25,0.2701,0.3700,0.2553,0.3481,2124803892
41,2021-08-26,0.3480,0.4069,0.3000,0.3036,2039541330
42,2021-08-27,0.3034,0.3289,0.2847,0.3187,1145833398
43,2021-08-28,0.3188,0.3686,0.3104,0.3536,1282649218
44,2021-08-29,0.3537,0.3945,0.3166,0.3692,1428961958
45,2021-08-30,0.3692,0.4150,0.3357,0.3434,1394015655
46,2021-08-31,0.3435,0.3744,0.3203,0.3316,835020188
47,2021-09-01,0.3314,0.3426,0.3155,0.3297,541928290
48,2021-09-02,0.3297,0.3503,0.3265,0.3283,516179337
49,2021-09-03,0.3283,0.3329,0.3083,0.3176,472635240
50,2021-09-04,0.3176,0.3489,0.3145,0.3273,708758382
51,2021-09-05,0.3274,0.3440,0.3240,0.3357,495637079
52,2021-09-06,0.3356,0.3586,0.3100,0.3289,754264557
53,2021-09-07,0.3289,0.3311,0.1785,0.2341,1572073287
54,2021-09-08,0.2340,0.2428,0.1965,0.2233,1068788730
55,2021-09-09,0.2232,0.2389,0.2137,0.2228,683834252
56,2021-09-10,0.2229,0.2323,0.1987,0.2069,543490779
57,2021-09-11,0.2069,0.2194,0.2020,0.2091,362180972
58,2021-09-12,0.2091,0.2309,0.2046,0.2211,438194286
59,2021-09-13,0.2211,0.2242,0.1818,0.2000,471646346
60,2021-09-14,0.2001,0.2088,0.1966,0.2058,305238434
