,time,open,high,low,close,volume
0,2020-12-07,0.7223,0.7529,0.7136,0.7486,4161656
1,2020-12-08,0.7489,0.7821,0.6718,0.6854,11514295
2,2020-12-09,0.6849,0.7150,0.6433,0.7042,5786961
3,2020-12-10,0.7034,0.7074,0.6618,0.6796,3097416
4,2020-12-11,0.6797,0.6827,0.6263,0.6446,4093742
5,2020-12-12,0.6440,0.6869,0.6424,0.6790,2399694
6,2020-12-13,0.6789,0.7185,0.6760,0.7079,3704119
7,2020-12-14,0.7074,0.7784,0.6904,0.7503,7400202
8,2020-12-15,0.7512,0.7991,0.7438,0.7522,10365369
9,2020-12-16,0.7526,0.8316,0.7270,0.8090,10495624
10,2020-12-17,0.8096,0.8557,0.7756,0.7945,12929331
11,2020-12-18,0.7948,0.8542,0.7731,0.8478,6181226
12,2020-12-19,0.8484,0.8805,0.8356,0.8639,7666111
13,2020-12-20,0.8644,0.8660,0.7621,0.7819,7658503
14,2020-12-21,0.7815,0.7980,0.7143,0.7482,7907961
15,2020-12-22,0.7478,0.7964,0.7076,0.7711,6769864
16,2020-12-23,0.7704,0.7808,0.5600,0.6331,10746312
17,2020-12-24,0.6329,0.6887,0.6045,0.6872,10347810
18,2020-12-25,0.6876,0.7190,0.6541,0.6785,6822840
19,2020-12-26,0.6789,0.7125,0.6488,0.6930,5731587
20,2020-12-27,0.6930,0.7416,0.6492,0.6877,11124548
21,2020-12-28,0.6886,0.7600,0.6796,0.7148,9615109
22,2020-12-29,0.7149,0.7345,0.6554,0.6937,8776169
23,2020-12-30,0.6937,0.6999,0.6600,0.6689,4042295
24,2020-12-31,0.6690,0.6800,0.6391,0.6775,4556099
25,2021-01-01,0.6770,0.7100,0.6547,0.6774,7120989
26,2021-01-02,0.6775,0.7414,0.6431,0.7041,10107229
27,2021-01-03,0.7046,0.8685,0.7046,0.8245,24428219
28,2021-01-04,0.8242,1.0101,0.8039,0.9648,26143275
29,2021-01-05,0.9654,1.0555,0.9010,0.9293,27797859
30,2021-01-06,0.9307,1.0228,0.8900,0.9812,15507780
31,2021-01-07,0.9822,1.0625,0.8880,0.9289,15387967
32,2021-01-08,0.9289,1.1561,0.8082,1.1473,23407273
33,2021-01-09,1.1474,1.3000,1.1201,1.1324,23049898
34,2021-01-10,1.1314,1.2456,0.9980,1.1587,16611338
35,2021-01-11,1.1586,1.2336,0.9697,1.2194,20217249
36,2021-01-12,1.2208,1.3316,1.1147,1.1370,18718091
37,2021-01-13,1.1367,1.2557,1.0839,1.2275,11753183
38,2021-01-14,1.2277,1.3849,1.2021,1.3332,14192608
39,2021-01-15,1.3334,1.4076,1.2000,1.2886,12396801
40,2021-01-16,1.2885,1.4575,1.2801,1.3582,10772700
41,2021-01-17,1.3591,1.3954,1.2860,1.3313,8759857
42,2021-01-18,1.3324,1.4145,1.3000,1.3797,6534101
43,2021-01-19,1.3800,1.4100,1.2641,1.2653,6367514
44,2021-01-20,1.2637,1.3543,1.2190,1.3452,10591507
45,2021-01-21,1.3455,1.3563,1.1218,1.1420,6882226
46,2021-01-22,1.1411,1.2784,1.0385,1.2146,7820872
47,2021-01-23,1.2151,1.3754,1.1967,1.2971,11274576
48,2021-01-24,1.2976,1.3516,1.2623,1.2965,6904941
49,2021-01-25,1.2972,1.3450,1.2333,1.2359,4987288
50,2021-01-26,1.2354,1.2747,1.1375,1.2215,4957115
51,2021-01-27,1.2212,1.3287,1.1659,1.1834,19513183
52,2021-01-28,1.1824,1.2900,1.1416,1.2132,12410372
53,2021-01-29,1.2140,1.2482,1.1539,1.2115,8500581
54,2021-01-30,1.2122,1.3777,1.2080,1.3319,13491971
55,2021-01-31,1.3322,1.3665,1.2174,1.2594,9355301
56,2021-02-01,1.2586,1.3629,1.2064,1.3358,8826867
57,2021-02-02,1.3350,1.4300,1.3000,1.3682,11690296
58,2021-02-03,1.3691,1.5711,1.3440,1.4948,15807266
59,2021-02-04,1.4945,1.7049,1.4000,1.6123,14980525
60,2021-02-05,1.6148,1.9000,1.6144,1.8081,18126345
61,2021-02-06,1.8090,1.8467,1.5126,1.6221,25024340
62,2021-02-07,1.6228,1.7700,1.5079,1.6485,17274862
63,2021-02-08,1.6493,1.7973,1.6067,1.6779,13778140
64,2021-02-09,1.6776,2.0900,1.6518,1.9820,16876405
65,2021-02-10,1.9817,2.0350,1.6000,1.9433,19498724
66,2021-02-11,1.9441,2.1037,1.8512,1.9207,12556517
67,2021-02-12,1.9220,2.3000,1.8842,2.2383,17120819
