Date,Close,Open,High,Low,Change
2010-07-19,2.961,2.961,2.961,2.961,0.0123
2010-07-20,2.954,2.954,2.954,2.954,-0.0024
2010-07-21,2.882,2.882,2.882,2.882,-0.024399999999999998
2010-07-22,2.932,2.932,2.932,2.932,0.0173
2010-07-23,3.0,3.0,3.0,3.0,0.0232
2010-07-26,2.996,2.996,2.996,2.996,-0.0013
2010-07-27,3.049,3.049,3.049,3.049,0.0177
2010-07-28,2.99,2.99,2.99,2.99,-0.0194
2010-07-29,2.988,2.988,2.988,2.988,-0.0007000000000000001
2010-07-30,2.905,2.905,2.905,2.905,-0.0278
2010-08-02,2.963,2.963,2.963,2.963,0.02
2010-08-03,2.909,2.909,2.909,2.909,-0.0182
2010-08-04,2.953,2.953,2.953,2.953,0.0151
2010-08-05,2.906,2.906,2.906,2.906,-0.0159
2010-08-06,2.822,2.822,2.822,2.822,-0.028900000000000002
2010-08-09,2.829,2.829,2.829,2.829,0.0025
2010-08-10,2.768,2.768,2.768,2.768,-0.0216
2010-08-11,2.687,2.687,2.687,2.687,-0.029300000000000003
2010-08-12,2.753,2.753,2.753,2.753,0.0246
2010-08-13,2.679,2.679,2.679,2.679,-0.0269
2010-08-16,2.573,2.573,2.573,2.573,-0.039599999999999996
2010-08-17,2.641,2.641,2.641,2.641,0.0264
2010-08-18,2.638,2.638,2.638,2.638,-0.0011
2010-08-19,2.575,2.575,2.575,2.575,-0.0239
2010-08-20,2.614,2.614,2.614,2.614,0.0151
2010-08-23,2.602,2.602,2.602,2.602,-0.0046
2010-08-24,2.488,2.488,2.488,2.488,-0.0438
2010-08-25,2.539,2.539,2.539,2.539,0.020499999999999997
2010-08-26,2.481,2.481,2.481,2.481,-0.022799999999999997
2010-08-27,2.647,2.647,2.647,2.647,0.0669
2010-08-30,2.53,2.53,2.53,2.53,-0.044199999999999996
2010-08-31,2.47,2.47,2.47,2.47,-0.023700000000000002
2010-09-01,2.58,2.58,2.58,2.58,0.044500000000000005
2010-09-02,2.625,2.625,2.625,2.625,0.0174
2010-09-03,2.702,2.702,2.702,2.702,0.029300000000000003
2010-09-06,2.714,2.714,2.714,2.714,0.0044
2010-09-07,2.598,2.598,2.598,2.598,-0.042699999999999995
2010-09-08,2.654,2.654,2.654,2.654,0.0216
2010-09-09,2.762,2.762,2.762,2.762,0.0407
2010-09-10,2.795,2.795,2.795,2.795,0.011899999999999999
2010-09-13,2.746,2.746,2.746,2.746,-0.0175
2010-09-14,2.683,2.683,2.683,2.683,-0.0229
2010-09-15,2.723,2.723,2.723,2.723,0.0149
2010-09-16,2.764,2.764,2.764,2.764,0.0151
2010-09-17,2.739,2.739,2.739,2.739,-0.009000000000000001
2010-09-20,2.704,2.704,2.704,2.704,-0.0128
2010-09-21,2.576,2.576,2.576,2.576,-0.0473
2010-09-22,2.555,2.555,2.555,2.555,-0.008199999999999999
2010-09-23,2.553,2.553,2.553,2.553,-0.0008
2010-09-24,2.61,2.61,2.61,2.61,0.0223
2010-09-27,2.531,2.531,2.531,2.531,-0.030299999999999997
2010-09-28,2.467,2.467,2.467,2.467,-0.0253
2010-09-29,2.505,2.505,2.505,2.505,0.0154
2010-09-30,2.512,2.512,2.512,2.512,0.0028000000000000004
2010-10-01,2.513,2.513,2.513,2.513,0.0004
2010-10-04,2.479,2.479,2.479,2.479,-0.013500000000000002
2010-10-05,2.474,2.474,2.474,2.474,-0.002
2010-10-06,2.401,2.401,2.401,2.401,-0.029500000000000002
2010-10-07,2.385,2.385,2.385,2.385,-0.0067
2010-10-08,2.396,2.396,2.396,2.396,0.0046
2010-10-11,2.389,2.389,2.389,2.389,-0.0029
2010-10-12,2.433,2.433,2.433,2.433,0.0184
2010-10-13,2.429,2.429,2.429,2.429,-0.0016
2010-10-14,2.509,2.509,2.509,2.509,0.0329
2010-10-15,2.567,2.567,2.567,2.567,0.0231
2010-10-18,2.515,2.515,2.515,2.515,-0.0203
2010-10-19,2.481,2.481,2.481,2.481,-0.013500000000000002
2010-10-20,2.481,2.481,2.481,2.481,0.0
2010-10-21,2.542,2.542,2.542,2.542,0.0246
2010-10-22,2.561,2.561,2.561,2.561,0.0075
2010-10-25,2.565,2.565,2.565,2.565,0.0016
2010-10-26,2.645,2.645,2.645,2.645,0.031200000000000002
2010-10-27,2.722,2.722,2.722,2.722,0.0291
2010-10-28,2.659,2.659,2.659,2.659,-0.0231
2010-10-29,2.603,2.603,2.603,2.603,-0.021099999999999997
2010-11-01,2.625,2.625,2.625,2.625,0.0085
2010-11-02,2.587,2.587,2.587,2.587,-0.014499999999999999
2010-11-03,2.579,2.579,2.579,2.579,-0.0031
2010-11-04,2.493,2.493,2.493,2.493,-0.0333
2010-11-05,2.539,2.539,2.539,2.539,0.018500000000000003
2010-11-08,2.558,2.558,2.558,2.558,0.0075
2010-11-09,2.663,2.663,2.663,2.663,0.040999999999999995
2010-11-10,2.639,2.639,2.639,2.639,-0.009000000000000001
2010-11-11,2.656,2.656,2.656,2.656,0.0064
2010-11-12,2.789,2.789,2.789,2.789,0.0501
2010-11-15,2.967,2.967,2.967,2.967,0.0638
2010-11-16,2.845,2.845,2.845,2.845,-0.041100000000000005
2010-11-17,2.882,2.882,2.882,2.882,0.013000000000000001
2010-11-18,2.901,2.901,2.901,2.901,0.0066
2010-11-19,2.873,2.873,2.873,2.873,-0.0097
2010-11-22,2.806,2.806,2.806,2.806,-0.0233
2010-11-23,2.782,2.782,2.782,2.782,-0.0086
2010-11-24,2.912,2.912,2.912,2.912,0.0467
2010-11-25,2.911,2.911,2.911,2.911,-0.0003
2010-11-26,2.87,2.87,2.87,2.87,-0.0141
2010-11-29,2.826,2.826,2.826,2.826,-0.015300000000000001
2010-11-30,2.797,2.797,2.797,2.797,-0.0103
2010-12-01,2.966,2.966,2.966,2.966,0.0604
2010-12-02,2.996,2.996,2.996,2.996,0.0101
2010-12-03,3.007,3.007,3.007,3.007,0.0037
2010-12-06,2.929,2.929,2.929,2.929,-0.0259
2010-12-07,3.135,3.135,3.135,3.135,0.0703
2010-12-08,3.272,3.272,3.272,3.272,0.0437
2010-12-09,3.213,3.213,3.213,3.213,-0.018000000000000002
2010-12-10,3.323,3.323,3.323,3.323,0.0342
2010-12-13,3.277,3.277,3.277,3.277,-0.0138
2010-12-14,3.473,3.473,3.473,3.473,0.059800000000000006
2010-12-15,3.538,3.538,3.538,3.538,0.0187
2010-12-16,3.434,3.434,3.434,3.434,-0.0294
2010-12-17,3.332,3.332,3.332,3.332,-0.0297
2010-12-20,3.34,3.34,3.34,3.34,0.0024
2010-12-21,3.303,3.303,3.303,3.303,-0.0111
2010-12-22,3.348,3.348,3.348,3.348,0.013600000000000001
2010-12-23,3.397,3.397,3.397,3.397,0.0146
2010-12-24,3.414,3.414,3.414,3.414,0.0049
2010-12-27,3.327,3.327,3.327,3.327,-0.0253
2010-12-28,3.482,3.482,3.482,3.482,0.0466
2010-12-29,3.355,3.355,3.355,3.355,-0.0365
2010-12-30,3.367,3.367,3.367,3.367,0.0036
2010-12-31,3.288,3.288,3.288,3.288,-0.0235
2011-01-03,3.334,3.334,3.334,3.334,0.013999999999999999
2011-01-04,3.338,3.338,3.338,3.338,0.0012
2011-01-05,3.463,3.463,3.463,3.463,0.0374
2011-01-06,3.399,3.399,3.399,3.399,-0.018500000000000003
2011-01-07,3.328,3.328,3.328,3.328,-0.0209
2011-01-10,3.287,3.287,3.287,3.287,-0.0123
2011-01-11,3.34,3.34,3.34,3.34,0.0161
2011-01-12,3.367,3.367,3.367,3.367,0.008100000000000001
2011-01-13,3.299,3.299,3.299,3.299,-0.0202
2011-01-14,3.331,3.331,3.331,3.331,0.0097
2011-01-17,3.315,3.315,3.315,3.315,-0.004699999999999999
2011-01-18,3.37,3.37,3.37,3.37,0.0165
2011-01-19,3.337,3.337,3.337,3.337,-0.0098
2011-01-20,3.451,3.451,3.451,3.451,0.0342
2011-01-21,3.408,3.408,3.408,3.408,-0.0125
2011-01-24,3.406,3.406,3.406,3.406,-0.0006
2011-01-25,3.33,3.33,3.33,3.33,-0.0223
2011-01-26,3.421,3.421,3.421,3.421,0.0273
2011-01-27,3.389,3.389,3.389,3.389,-0.009399999999999999
2011-01-28,3.329,3.329,3.329,3.329,-0.0177
2011-01-31,3.374,3.374,3.374,3.374,0.013500000000000002
2011-02-01,3.435,3.435,3.435,3.435,0.0181
