,time,open,high,low,close,volume
0,2020-12-07,0.017174,0.018526,0.016451,0.018151,2663127188
1,2020-12-08,0.018151,0.018347,0.015833,0.016381,1969982065
2,2020-12-09,0.016381,0.017115,0.015080,0.016772,1702839511
3,2020-12-10,0.016772,0.016906,0.015645,0.015943,928097902
4,2020-12-11,0.015949,0.016065,0.014957,0.015602,1207339008
5,2020-12-12,0.015606,0.016718,0.015558,0.016502,967458642
6,2020-12-13,0.016497,0.017008,0.016203,0.016463,1054409789
7,2020-12-14,0.016464,0.016637,0.016138,0.016373,826133247
8,2020-12-15,0.016379,0.016975,0.016042,0.016521,982424936
9,2020-12-16,0.016523,0.017481,0.016199,0.017336,1391211279
10,2020-12-17,0.017334,0.018281,0.016353,0.017096,2723394761
11,2020-12-18,0.017100,0.017732,0.016601,0.017442,1294179510
12,2020-12-19,0.017452,0.018167,0.017171,0.017393,1379258969
13,2020-12-20,0.017394,0.017575,0.015491,0.016335,1510543090
14,2020-12-21,0.016334,0.016547,0.015135,0.015533,1231270123
15,2020-12-22,0.015537,0.016225,0.014969,0.015868,1093383706
16,2020-12-23,0.015870,0.016057,0.011408,0.013233,2324180218
17,2020-12-24,0.013230,0.015127,0.012603,0.014895,1912055791
18,2020-12-25,0.014904,0.015277,0.014132,0.014605,1059069152
19,2020-12-26,0.014601,0.017580,0.013630,0.016484,2746462790
20,2020-12-27,0.016491,0.018129,0.015768,0.016553,4504327984
21,2020-12-28,0.016562,0.020504,0.016223,0.020224,4059929467
22,2020-12-29,0.020226,0.021438,0.018615,0.021263,4974838240
23,2020-12-30,0.021221,0.021364,0.019117,0.020240,1980896758
24,2020-12-31,0.020241,0.020332,0.018293,0.018784,1376351181
25,2021-01-01,0.018785,0.020210,0.018423,0.019074,1756335032
26,2021-01-02,0.019079,0.021285,0.018501,0.020042,2215839627
27,2021-01-03,0.020051,0.027090,0.019800,0.026307,6415990972
28,2021-01-04,0.026309,0.027295,0.021280,0.024636,4373263891
29,2021-01-05,0.024638,0.029056,0.023205,0.027966,3663331971
30,2021-01-06,0.027994,0.032392,0.027215,0.030904,3488545615
31,2021-01-07,0.030908,0.032017,0.026936,0.028721,2548135809
32,2021-01-08,0.028735,0.028967,0.024539,0.027344,2571172628
33,2021-01-09,0.027346,0.030063,0.026306,0.028912,1913325745
34,2021-01-10,0.028911,0.031004,0.024399,0.027121,2775337564
35,2021-01-11,0.027102,0.027247,0.019446,0.024369,4611762427
36,2021-01-12,0.024353,0.025700,0.021738,0.023006,2425206845
37,2021-01-13,0.022985,0.026500,0.021917,0.026102,2107392936
38,2021-01-14,0.026117,0.027039,0.024529,0.025785,1756390152
39,2021-01-15,0.025785,0.027094,0.022737,0.025318,2472953234
40,2021-01-16,0.025324,0.029088,0.025310,0.026906,2313588092
41,2021-01-17,0.026908,0.028324,0.025001,0.027265,2054747377
42,2021-01-18,0.027244,0.030979,0.026326,0.030930,2339437800
43,2021-01-19,0.030939,0.031780,0.028031,0.029107,1749136303
44,2021-01-20,0.029098,0.035043,0.028500,0.034609,4721720557
45,2021-01-21,0.034609,0.035433,0.027413,0.027979,4429743455
46,2021-01-22,0.027971,0.032600,0.025109,0.031308,3023107857
47,2021-01-23,0.031307,0.032047,0.029217,0.030097,1655329010
48,2021-01-24,0.030077,0.031967,0.029520,0.030691,1530451077
49,2021-01-25,0.030688,0.032524,0.029331,0.029785,1583316491
50,2021-01-26,0.029765,0.030521,0.028081,0.029478,1235252470
51,2021-01-27,0.029497,0.029515,0.025751,0.026416,1573492439
52,2021-01-28,0.026415,0.028859,0.025940,0.027432,1241089932
53,2021-01-29,0.027435,0.029559,0.026552,0.027925,2003366879
54,2021-01-30,0.027930,0.028248,0.026391,0.026917,1292027276
55,2021-01-31,0.026919,0.027267,0.024671,0.025456,1355671721
56,2021-02-01,0.025456,0.029887,0.024412,0.029420,2811946403
57,2021-02-02,0.029422,0.029773,0.027698,0.028215,1711204915
58,2021-02-03,0.028204,0.030434,0.028106,0.029255,1649604370
59,2021-02-04,0.029261,0.029662,0.026929,0.027751,1711109994
60,2021-02-05,0.027751,0.032441,0.027700,0.032168,2595591569
61,2021-02-06,0.032168,0.033296,0.028089,0.030072,2895105890
62,2021-02-07,0.030073,0.030950,0.026672,0.029164,2212789904
63,2021-02-08,0.029159,0.032336,0.028400,0.031414,2337614828
64,2021-02-09,0.031419,0.037082,0.030609,0.035446,3769459862
65,2021-02-10,0.035469,0.038570,0.031500,0.035777,3574551402
66,2021-02-11,0.035762,0.043486,0.034539,0.042712,3564714572
67,2021-02-12,0.042707,0.061150,0.042394,0.054668,6336128218
68,2021-02-13,0.054663,0.061000,0.049000,0.054911,4299637838
69,2021-02-14,0.054936,0.059389,0.049030,0.052313,2960399279
70,2021-02-15,0.052334,0.057600,0.042000,0.051159,4073006955
71,2021-02-16,0.051142,0.053941,0.047500,0.049477,2280387003
72,2021-02-17,0.049494,0.054071,0.046101,0.051356,2302521145
73,2021-02-18,0.051342,0.057503,0.051292,0.054584,2506367498
74,2021-02-19,0.054591,0.056462,0.050817,0.053786,2224383107
75,2021-02-20,0.053800,0.060312,0.049508,0.053527,3882736143
76,2021-02-21,0.053527,0.056448,0.052039,0.054850,1883681770
77,2021-02-22,0.054866,0.055033,0.039700,0.050151,3074419771
78,2021-02-23,0.050146,0.050448,0.033993,0.042153,4518047615
79,2021-02-24,0.042106,0.046521,0.039649,0.042769,1806250258
80,2021-02-25,0.042751,0.044754,0.038811,0.039279,1701356118
81,2021-02-26,0.039269,0.042255,0.036408,0.039441,1935978500
82,2021-02-27,0.039447,0.042604,0.039447,0.040780,1390319159
83,2021-02-28,0.040772,0.041151,0.036332,0.039744,1365888395
84,2021-03-01,0.039735,0.045748,0.039399,0.045725,1357422810
85,2021-03-02,0.045734,0.046627,0.041500,0.043847,1355338568
86,2021-03-03,0.043858,0.054517,0.043154,0.052823,2137684048
87,2021-03-04,0.052813,0.055149,0.047065,0.050373,2291628746
88,2021-03-05,0.050305,0.053552,0.046000,0.052073,1697029698
89,2021-03-06,0.052068,0.054751,0.049484,0.053275,1434923338
90,2021-03-07,0.053264,0.060100,0.053227,0.056794,2771829446
91,2021-03-08,0.056794,0.066443,0.055589,0.065361,3003544827
92,2021-03-09,0.065346,0.068088,0.062266,0.064576,2245012497
