Date,Close,Open,High,Low,Volume,Change
2010-07-19,25.97,27.02,27.3,25.12,0.0,-0.010700000000000001
2010-07-20,23.93,27.35,27.4,23.79,0.0,-0.0786
2010-07-21,25.64,23.61,26.63,23.59,0.0,0.07150000000000001
2010-07-22,24.63,24.37,24.85,23.72,0.0,-0.0394
2010-07-23,23.47,24.79,25.17,23.32,0.0,-0.0471
2010-07-26,22.73,24.37,24.61,22.7,0.0,-0.0315
2010-07-27,23.19,21.89,23.57,21.86,0.0,0.0202
2010-07-28,24.25,23.93,24.54,22.24,0.0,0.045700000000000005
2010-07-29,24.13,23.4,25.54,23.04,0.0,-0.0049
2010-07-30,23.5,25.47,27.32,23.35,0.0,-0.026099999999999998
2010-08-02,22.01,23.07,23.24,21.74,0.0,-0.0634
2010-08-03,22.63,22.44,23.06,21.98,0.0,0.0282
2010-08-04,22.21,22.69,23.69,22.16,0.0,-0.018600000000000002
2010-08-05,22.1,23.04,23.13,22.07,0.0,-0.005
2010-08-06,21.74,23.34,23.89,21.72,0.0,-0.0163
2010-08-09,22.14,21.85,22.87,21.36,0.0,0.0184
2010-08-10,22.37,23.3,24.24,22.17,0.0,0.0104
2010-08-11,25.39,24.96,26.1,24.96,0.0,0.135
2010-08-12,25.73,27.21,27.21,25.18,0.0,0.0134
2010-08-13,26.24,26.08,26.26,25.45,0.0,0.019799999999999998
2010-08-16,26.1,27.41,28.1,25.38,0.0,-0.0053
2010-08-17,24.33,24.72,24.89,23.71,0.0,-0.0678
2010-08-18,24.59,24.3,25.23,23.4,0.0,0.010700000000000001
2010-08-19,26.44,24.48,26.78,24.26,0.0,0.07519999999999999
2010-08-20,25.49,26.73,27.0,25.49,0.0,-0.0359
2010-08-23,25.66,25.97,25.97,24.62,0.0,0.0067
2010-08-24,27.46,27.91,28.77,26.32,0.0,0.0701
2010-08-25,26.7,28.3,28.92,26.46,0.0,-0.0277
2010-08-26,27.37,26.45,27.55,25.86,0.0,0.025099999999999997
2010-08-27,24.45,26.5,28.11,24.41,0.0,-0.1067
2010-08-30,27.21,25.88,27.21,25.41,0.0,0.11289999999999999
2010-08-31,26.05,27.58,27.83,25.93,0.0,-0.0426
2010-09-01,23.89,25.13,25.13,23.86,0.0,-0.08289999999999999
2010-09-02,23.19,24.23,24.31,23.15,0.0,-0.029300000000000003
2010-09-03,21.31,21.99,22.78,21.24,0.0,-0.08109999999999999
2010-09-07,23.8,22.77,23.94,22.77,0.0,0.1168
2010-09-08,23.25,23.51,23.56,22.92,0.0,-0.0231
2010-09-09,22.81,22.22,23.24,22.14,0.0,-0.0189
