,time,open,high,low,close,volume
0,2020-12-07,8.4240,9.2600,8.1427,8.9395,10117285.4
1,2020-12-08,8.9395,9.1750,7.6600,7.8076,6182100.9
2,2020-12-09,7.8057,8.8880,7.2580,8.5451,6846044.7
3,2020-12-10,8.5429,8.6955,7.8298,8.1162,4668213.0
4,2020-12-11,8.1228,8.3736,7.6363,8.1147,4318034.7
5,2020-12-12,8.1110,8.7833,8.1036,8.4716,3901940.4
6,2020-12-13,8.4769,8.9663,8.2600,8.6458,3924221.6
7,2020-12-14,8.6468,8.8629,8.3276,8.6306,2978765.4
8,2020-12-15,8.6348,8.6786,8.0498,8.1137,2904474.3
9,2020-12-16,8.1140,8.5673,7.9290,8.3559,3365593.0
10,2020-12-17,8.3611,8.6190,7.8000,7.9316,4265039.1
11,2020-12-18,7.9339,8.2391,7.5311,7.8152,3921843.8
12,2020-12-19,7.8147,7.9990,7.6191,7.6661,2977229.1
13,2020-12-20,7.6672,7.7646,7.0426,7.1872,3324341.0
14,2020-12-21,7.1853,7.3523,6.4827,6.6643,4349804.8
15,2020-12-22,6.6645,7.6100,6.5283,7.1077,6140780.1
16,2020-12-23,7.1030,7.2394,5.4308,5.8787,6022615.6
17,2020-12-24,5.8743,6.7053,5.4170,6.4761,7273518.2
18,2020-12-25,6.4747,7.2376,6.3602,6.6452,5152550.0
19,2020-12-26,6.6423,6.8236,6.2281,6.3332,2277178.3
20,2020-12-27,6.3338,6.8358,5.9910,6.4018,3895473.2
21,2020-12-28,6.4066,6.8001,6.3137,6.6241,3042420.2
22,2020-12-29,6.6240,7.5613,6.5100,7.0050,5972255.9
23,2020-12-30,7.0096,7.0586,6.4708,6.6259,3273642.2
24,2020-12-31,6.6258,6.6337,5.9510,6.1960,3093131.6
25,2021-01-01,6.1946,6.3655,5.9000,5.9869,3680852.9
26,2021-01-02,5.9869,5.9939,5.4500,5.6019,4910625.1
27,2021-01-03,5.6018,6.1833,5.0885,5.5788,11312932.6
28,2021-01-04,5.5789,6.1876,5.0100,5.4026,9592543.5
29,2021-01-05,5.4031,5.8181,5.1680,5.5866,7947956.3
30,2021-01-06,5.5822,6.1643,5.3500,5.8592,8379898.7
31,2021-01-07,5.8639,6.6141,5.5089,5.9395,10891920.6
32,2021-01-08,5.9407,6.0129,5.1709,5.6234,8090660.2
33,2021-01-09,5.6196,6.2827,5.4181,6.1807,5384391.9
34,2021-01-10,6.1810,6.9780,5.8781,6.5348,13012278.6
35,2021-01-11,6.5376,6.5645,5.0056,5.6179,9975883.6
36,2021-01-12,5.6199,6.5800,5.4170,6.0299,8860280.1
37,2021-01-13,6.0284,6.5324,5.8007,6.3900,6210835.8
38,2021-01-14,6.3913,6.9154,6.0232,6.4567,6602029.7
39,2021-01-15,6.4626,6.9158,5.8574,6.3718,8517481.1
40,2021-01-16,6.3702,6.9672,6.2100,6.6454,6196918.9
41,2021-01-17,6.6452,8.1951,6.2911,7.3887,10916808.7
42,2021-01-18,7.3874,8.3330,7.3400,7.8575,8154174.2
43,2021-01-19,7.8580,7.9627,7.0807,7.0920,4265802.6
44,2021-01-20,7.0912,7.3049,6.4711,7.2264,3862703.2
45,2021-01-21,7.2267,7.2562,5.9000,5.9886,3396559.9
46,2021-01-22,5.9878,6.6546,5.4800,6.4012,3248103.8
47,2021-01-23,6.4020,6.8903,6.3273,6.6002,2500798.6
48,2021-01-24,6.6036,7.4545,6.5346,7.0016,5950985.2
49,2021-01-25,6.9996,7.3427,6.6639,6.6888,3215141.6
50,2021-01-26,6.6842,6.9290,6.4134,6.8295,2061923.5
51,2021-01-27,6.8313,6.8492,5.9678,6.0315,1730064.7
52,2021-01-28,6.0303,6.5467,5.9456,6.2941,1855335.4
53,2021-01-29,6.2932,6.8000,6.1644,6.5242,2871378.7
54,2021-01-30,6.5257,7.0000,6.2351,6.7585,2887422.8
