,time,open,high,low,close,volume
0,2022-04-08,0.58980,0.64956,0.49550,0.51475,279697311
1,2022-04-09,0.51470,0.53700,0.50050,0.52670,134452115
2,2022-04-10,0.52667,0.53472,0.49700,0.50349,61455307
3,2022-04-11,0.50338,0.50468,0.44600,0.45619,77509857
4,2022-04-12,0.45615,0.50619,0.45025,0.46340,196073920
5,2022-04-13,0.46344,0.48399,0.45723,0.47902,50004939
6,2022-04-14,0.47897,0.52580,0.46417,0.47673,112335887
7,2022-04-15,0.47673,0.49063,0.45881,0.47417,48546091
8,2022-04-16,0.47416,0.48042,0.46000,0.47280,31666543
9,2022-04-17,0.47298,0.49886,0.45284,0.45727,57372735
10,2022-04-18,0.45727,0.49557,0.43211,0.49327,116892332
11,2022-04-19,0.49346,0.53200,0.48616,0.50078,122237864
12,2022-04-20,0.50078,0.50139,0.48741,0.49418,4046839
