,time,open,high,low,close,volume
0,2021-03-03,0.8085,0.8439,0.7702,0.7904,23656874
1,2021-03-04,0.7918,0.8049,0.6666,0.7051,36344364
2,2021-03-05,0.7062,0.7401,0.6389,0.7157,46489036
3,2021-03-06,0.7165,0.7988,0.6998,0.7324,71960254
4,2021-03-07,0.7326,0.7586,0.7043,0.7156,35488470
5,2021-03-08,0.7157,0.7300,0.6730,0.7174,57070082
6,2021-03-09,0.7175,0.7319,0.6885,0.7006,58202329
7,2021-03-10,0.7008,0.7019,0.4936,0.5341,448040147
8,2021-03-11,0.5338,0.5430,0.4655,0.4946,399110725
9,2021-03-12,0.4946,0.4980,0.3111,0.3906,1463509858
10,2021-03-13,0.3906,0.3972,0.3500,0.3641,449378925
11,2021-03-14,0.3645,0.3685,0.3305,0.3305,279738505
12,2021-03-15,0.3310,0.3800,0.3215,0.3739,508952574
13,2021-03-16,0.3738,0.4190,0.3501,0.3947,446999135
14,2021-03-17,0.3952,0.4070,0.3645,0.3922,201494565
15,2021-03-18,0.3925,0.3959,0.3701,0.3740,113066408
16,2021-03-19,0.3740,0.3937,0.3595,0.3784,116601936
17,2021-03-20,0.3784,0.3850,0.3618,0.3638,84264800
18,2021-03-21,0.3639,0.3729,0.3425,0.3673,109416688
19,2021-03-22,0.3672,0.3879,0.3469,0.3562,143827150
20,2021-03-23,0.3562,0.3678,0.3452,0.3562,79316686
21,2021-03-24,0.3562,0.3700,0.3050,0.3303,135395328
22,2021-03-25,0.3303,0.3365,0.3113,0.3197,108184111
23,2021-03-26,0.3198,0.3485,0.3192,0.3429,92543330
24,2021-03-27,0.3429,0.3519,0.3319,0.3460,67025096
25,2021-03-28,0.3460,0.3668,0.3404,0.3595,98322171
26,2021-03-29,0.3595,0.3803,0.3504,0.3748,104242115
27,2021-03-30,0.3747,0.3975,0.3740,0.3833,122385091
28,2021-03-31,0.3833,0.3858,0.3398,0.3696,154778195
29,2021-04-01,0.3698,0.3767,0.3550,0.3630,81438434
30,2021-04-02,0.3630,0.3726,0.3560,0.3611,94900163
31,2021-04-03,0.3614,0.4080,0.3574,0.3628,282834982
32,2021-04-04,0.3629,0.3926,0.3568,0.3886,112866163
33,2021-04-05,0.3885,0.4319,0.3666,0.4230,239227892
34,2021-04-06,0.4230,0.4881,0.3960,0.4853,461459645
35,2021-04-07,0.4853,0.4899,0.3432,0.3822,572489849
36,2021-04-08,0.3821,0.4209,0.3781,0.4153,192314328
