,time,open,high,low,close,volume
0,2020-12-07,0.17622,0.17678,0.16385,0.16820,302810233
1,2020-12-08,0.16823,0.16886,0.14927,0.15275,509210609
2,2020-12-09,0.15270,0.17568,0.13920,0.17197,994237391
3,2020-12-10,0.17189,0.17780,0.16000,0.16065,1016021798
4,2020-12-11,0.16066,0.16456,0.15005,0.15094,807575078
5,2020-12-12,0.15095,0.16520,0.15000,0.15891,526056908
6,2020-12-13,0.15888,0.18000,0.15555,0.17629,771542644
7,2020-12-14,0.17623,0.17866,0.16634,0.17027,590670611
8,2020-12-15,0.17029,0.17693,0.16445,0.16603,414448622
9,2020-12-16,0.16609,0.19520,0.15902,0.19330,919365216
10,2020-12-17,0.19327,0.20960,0.17886,0.18651,1509195654
11,2020-12-18,0.18651,0.19043,0.17712,0.18552,492341285
12,2020-12-19,0.18554,0.18855,0.17948,0.18162,329281444
13,2020-12-20,0.18162,0.18291,0.17344,0.17672,278770329
14,2020-12-21,0.17671,0.18070,0.16000,0.16540,362983487
15,2020-12-22,0.16545,0.16999,0.15320,0.16216,488497559
16,2020-12-23,0.16216,0.16220,0.11024,0.12675,1623117312
17,2020-12-24,0.12674,0.16677,0.12279,0.15824,1715695359
18,2020-12-25,0.15830,0.16697,0.14805,0.15246,893258788
19,2020-12-26,0.15234,0.15570,0.14376,0.14697,451963667
20,2020-12-27,0.14696,0.15626,0.13415,0.14549,742593260
21,2020-12-28,0.14553,0.15541,0.14143,0.14460,404220998
22,2020-12-29,0.14460,0.14934,0.12805,0.13849,628521301
23,2020-12-30,0.13845,0.13963,0.12853,0.13197,513940299
24,2020-12-31,0.13198,0.13272,0.12263,0.12779,428880246
25,2021-01-01,0.12777,0.14000,0.12664,0.13225,465471246
26,2021-01-02,0.13214,0.13460,0.12674,0.12774,367770379
27,2021-01-03,0.12773,0.13981,0.12409,0.13689,741528389
28,2021-01-04,0.13688,0.16799,0.12808,0.16440,1952321362
29,2021-01-05,0.16437,0.21050,0.14975,0.19320,2325107797
30,2021-01-06,0.19313,0.39500,0.19200,0.34295,7758269099
31,2021-01-07,0.34330,0.41800,0.28833,0.31260,3491023189
32,2021-01-08,0.31271,0.33256,0.26083,0.29759,1987899142
33,2021-01-09,0.29761,0.33067,0.28149,0.31136,1071042919
34,2021-01-10,0.31131,0.32855,0.26000,0.28516,1090718512
35,2021-01-11,0.28516,0.28586,0.21100,0.27180,1463526057
36,2021-01-12,0.27173,0.31235,0.25330,0.27996,1364300925
37,2021-01-13,0.28001,0.31091,0.27300,0.30392,773240103
38,2021-01-14,0.30399,0.32600,0.28807,0.30409,790857314
39,2021-01-15,0.30405,0.31526,0.26010,0.28430,654824052
40,2021-01-16,0.28430,0.31250,0.27759,0.29107,594967269
41,2021-01-17,0.29102,0.32068,0.28606,0.30432,678197776
42,2021-01-18,0.30431,0.31035,0.29339,0.30622,361911237
43,2021-01-19,0.30620,0.32366,0.29301,0.29810,735530940
44,2021-01-20,0.29790,0.30273,0.27501,0.29414,446451930
45,2021-01-21,0.29405,0.29539,0.24275,0.25168,420796540
46,2021-01-22,0.25167,0.28140,0.22624,0.26954,552594461
47,2021-01-23,0.26954,0.27989,0.26340,0.27024,287018660
48,2021-01-24,0.27025,0.28394,0.26224,0.27146,388076064
49,2021-01-25,0.27151,0.27796,0.26007,0.26133,250365838
50,2021-01-26,0.26135,0.26551,0.24857,0.26186,259676617
51,2021-01-27,0.26190,0.26264,0.23053,0.23784,278850115
52,2021-01-28,0.23794,0.30436,0.23216,0.29393,826508916
53,2021-01-29,0.29410,0.38746,0.28783,0.29435,2576344809
54,2021-01-30,0.29414,0.36700,0.28010,0.32913,1472336989
55,2021-01-31,0.32892,0.34073,0.29331,0.30751,833078112
56,2021-02-01,0.30749,0.36878,0.29260,0.32370,1593856196
57,2021-02-02,0.32370,0.35176,0.31830,0.33998,760367378
58,2021-02-03,0.33990,0.34999,0.32990,0.34781,556613649
59,2021-02-04,0.34781,0.35208,0.31000,0.32657,559487581
60,2021-02-05,0.32647,0.36437,0.32578,0.35227,851170780
61,2021-02-06,0.35233,0.39860,0.33282,0.37808,1000531056
62,2021-02-07,0.37811,0.42427,0.36000,0.38631,2158993158
63,2021-02-08,0.38623,0.40638,0.37390,0.39797,785623104
64,2021-02-09,0.39792,0.40737,0.37987,0.40143,618945189
65,2021-02-10,0.40131,0.45037,0.36533,0.41514,1434856719
