,time,open,high,low,close,volume
0,2020-12-07,134.23,144.00,133.82,138.74,331909.477
1,2020-12-08,138.74,143.00,132.67,135.78,224204.532
2,2020-12-09,135.79,135.89,127.00,132.46,140321.734
3,2020-12-10,132.45,134.99,129.19,133.66,126385.299
4,2020-12-11,133.69,142.00,129.77,141.08,217188.687
5,2020-12-12,141.13,150.31,140.79,146.69,387367.604
6,2020-12-13,146.68,152.48,143.62,152.03,225584.903
7,2020-12-14,152.03,157.50,150.10,152.47,300637.631
8,2020-12-15,152.53,155.40,150.31,150.37,138238.398
9,2020-12-16,150.37,159.40,147.25,158.86,218217.204
10,2020-12-17,158.83,163.48,153.30,160.41,278145.613
11,2020-12-18,160.35,160.57,153.08,154.52,128099.130
12,2020-12-19,154.49,158.18,153.67,154.67,104149.186
13,2020-12-20,154.63,156.99,151.00,152.42,94697.567
14,2020-12-21,152.37,153.72,142.69,145.70,118188.279
15,2020-12-22,145.67,157.56,143.65,156.39,166402.685
16,2020-12-23,156.40,169.22,147.38,150.84,402309.670
17,2020-12-24,150.81,158.61,146.25,156.73,210216.506
18,2020-12-25,156.72,161.11,152.18,159.09,198850.374
19,2020-12-26,159.16,168.59,158.80,168.32,190400.519
20,2020-12-27,168.31,171.37,156.16,157.19,207745.166
21,2020-12-28,157.19,168.66,156.53,166.57,146842.193
22,2020-12-29,166.52,167.49,155.00,161.59,136885.751
23,2020-12-30,161.64,164.25,157.57,159.63,105384.140
24,2020-12-31,159.62,161.60,155.27,156.25,88843.319
25,2021-01-01,156.27,168.99,130.04,135.79,1015979.122
26,2021-01-02,135.72,145.36,128.19,143.32,865223.027
27,2021-01-03,143.45,144.89,131.55,138.73,389676.121
28,2021-01-04,138.80,144.83,129.04,133.93,539540.601
29,2021-01-05,133.94,139.80,129.00,136.20,244165.132
30,2021-01-06,136.21,142.48,132.74,142.36,267270.390
31,2021-01-07,142.38,153.66,139.68,143.08,358300.362
32,2021-01-08,143.14,150.84,135.49,142.23,331481.683
33,2021-01-09,142.29,149.36,139.14,147.65,213961.579
34,2021-01-10,147.62,190.90,147.52,185.28,897015.339
35,2021-01-11,185.13,187.00,141.90,157.96,1142127.156
36,2021-01-12,157.95,174.34,153.83,159.11,383434.157
37,2021-01-13,159.25,173.35,152.48,171.26,243705.846
38,2021-01-14,171.19,171.84,160.74,163.97,210766.686
39,2021-01-15,163.97,167.99,147.68,157.11,199317.452
40,2021-01-16,157.07,162.21,152.59,155.93,207238.294
41,2021-01-17,155.88,164.52,149.96,159.81,183025.710
42,2021-01-18,159.78,161.07,150.50,157.19,218501.679
43,2021-01-19,157.22,166.10,152.90,157.50,319026.684
44,2021-01-20,157.44,162.41,146.19,153.00,237493.957
45,2021-01-21,153.00,153.45,127.94,130.51,276123.823
46,2021-01-22,130.65,141.34,122.00,135.65,354547.425
47,2021-01-23,135.68,141.86,133.89,139.01,363717.170
48,2021-01-24,139.16,143.19,134.19,138.09,275415.450
49,2021-01-25,138.16,145.55,136.87,137.14,264388.592
50,2021-01-26,137.18,140.71,133.30,137.97,267624.501
51,2021-01-27,137.91,138.26,125.22,125.53,279766.659
52,2021-01-28,125.56,140.81,123.66,135.54,482890.063
53,2021-01-29,135.56,151.92,132.28,140.55,435726.740
54,2021-01-30,140.55,142.40,136.52,139.97,217257.157
55,2021-01-31,139.97,140.85,132.53,137.94,214141.777
56,2021-02-01,137.94,146.49,135.90,143.69,282089.822
57,2021-02-02,143.69,152.40,143.14,151.37,246948.008
58,2021-02-03,151.46,155.99,150.55,154.90,231089.867
59,2021-02-04,154.90,156.15,148.05,148.45,163015.072
60,2021-02-05,148.50,156.03,147.77,155.56,180033.262
61,2021-02-06,155.54,158.64,152.03,152.53,153045.212
62,2021-02-07,152.52,156.57,147.56,150.55,178846.436
63,2021-02-08,150.58,164.23,147.60,163.41,206816.148
64,2021-02-09,163.46,175.25,158.60,169.88,215489.554
65,2021-02-10,169.87,184.88,163.70,175.81,341421.271
66,2021-02-11,175.73,193.50,170.61,190.76,302365.426
67,2021-02-12,190.76,216.72,190.76,201.41,462229.755
68,2021-02-13,201.40,255.87,196.92,241.74,694403.184
69,2021-02-14,241.79,244.14,223.38,230.51,362981.721
70,2021-02-15,230.56,234.47,203.15,228.41,376961.193
71,2021-02-16,228.33,235.05,210.20,221.60,239140.969
72,2021-02-17,221.54,275.47,221.10,272.25,570139.666
73,2021-02-18,272.36,277.69,252.76,261.33,295617.487
74,2021-02-19,261.40,284.95,252.61,283.03,299129.043
75,2021-02-20,283.13,290.57,245.50,255.47,325106.300
76,2021-02-21,255.56,261.82,244.11,247.96,257280.178
77,2021-02-22,247.95,249.34,182.66,224.64,454620.164
78,2021-02-23,224.64,225.93,169.64,221.03,568729.179
79,2021-02-24,221.01,225.87,197.54,204.31,367176.857
80,2021-02-25,204.50,218.44,195.94,198.39,255786.467
81,2021-02-26,198.29,217.70,193.41,204.11,313874.035
82,2021-02-27,204.14,223.23,203.33,209.26,245979.725
83,2021-02-28,209.17,227.63,197.88,219.22,389418.015
84,2021-03-01,219.10,230.69,210.11,230.60,222129.198
85,2021-03-02,230.63,232.57,210.91,220.39,194731.082
86,2021-03-03,220.54,229.18,215.82,218.99,175874.535
87,2021-03-04,219.00,224.10,209.51,217.62,176232.471
88,2021-03-05,217.61,217.64,202.87,206.14,135665.614
89,2021-03-06,206.13,208.37,198.30,204.49,175738.443
90,2021-03-07,204.54,210.34,202.53,209.35,125772.480
91,2021-03-08,209.32,221.62,204.05,221.46,184630.130
92,2021-03-09,221.47,229.32,218.50,225.55,160425.449
93,2021-03-10,225.53,227.96,215.17,220.38,162490.596
94,2021-03-11,220.45,226.66,213.00,221.45,156578.996
95,2021-03-12,221.41,226.33,215.28,223.02,157503.572
96,2021-03-13,223.01,239.77,218.43,239.72,193157.772
97,2021-03-14,239.70,241.61,229.30,232.39,167707.339
98,2021-03-15,232.35,238.37,215.66,222.21,182498.646
99,2021-03-16,222.10,230.10,212.53,229.92,159606.606
100,2021-03-17,229.99,237.24,226.00,236.23,192507.376
101,2021-03-18,236.26,241.06,228.10,228.56,168198.730
102,2021-03-19,228.60,236.80,223.70,231.69,132120.648
103,2021-03-20,231.62,237.88,231.00,232.17,90141.206
104,2021-03-21,232.19,237.53,226.20,232.16,127549.640
105,2021-03-22,232.16,233.61,215.42,217.36,166048.510
106,2021-03-23,217.34,225.09,211.62,218.28,133849.401
107,2021-03-24,218.29,229.68,205.50,210.66,158476.541
108,2021-03-25,210.75,221.75,204.52,214.66,210712.671
109,2021-03-26,214.66,226.08,214.54,221.77,114979.780
110,2021-03-27,221.77,224.00,214.26,221.48,108575.926
111,2021-03-28,221.46,233.35,217.75,232.61,171769.421
112,2021-03-29,232.50,242.51,231.34,234.41,185456.825
113,2021-03-30,234.41,247.68,232.99,244.80,162503.522
114,2021-03-31,244.78,264.20,242.57,246.30,346606.870
115,2021-04-01,246.34,255.86,244.75,250.78,189084.918
116,2021-04-02,250.80,261.69,249.42,258.30,186739.427
117,2021-04-03,258.34,267.97,252.71,257.26,215686.473
118,2021-04-04,257.25,273.00,247.23,263.95,263820.643
119,2021-04-05,263.97,270.11,260.18,266.21,205402.348
120,2021-04-06,266.16,277.87,261.79,270.87,216381.773
121,2021-04-07,270.90,280.62,253.00,257.74,291956.840
122,2021-04-08,257.60,272.20,251.45,269.95,165667.026
123,2021-04-09,269.94,290.80,266.35,274.00,220548.231
124,2021-04-10,273.99,300.07,273.70,292.23,266132.879
125,2021-04-11,292.25,331.32,291.24,329.81,335003.937
126,2021-04-12,329.77,345.10,314.98,314.99,425588.230
