,time,open,high,low,close,volume
0,2020-12-07,0.6216,0.6248,0.5905,0.6085,805089046.8
1,2020-12-08,0.6084,0.6110,0.5492,0.5587,1102552455.9
2,2020-12-09,0.5586,0.6053,0.5034,0.5826,2063874306.3
3,2020-12-10,0.5824,0.5885,0.5512,0.5708,1342615175.1
4,2020-12-11,0.5709,0.5730,0.5074,0.5127,2255749210.7
5,2020-12-12,0.5127,0.5478,0.4857,0.5065,2516812468.2
6,2020-12-13,0.5065,0.5278,0.4856,0.5138,1434796898.0
7,2020-12-14,0.5138,0.5193,0.4888,0.4980,1015882610.1
8,2020-12-15,0.4980,0.5079,0.4642,0.4685,1373289067.5
9,2020-12-16,0.4684,0.5749,0.4370,0.5686,3423263210.1
10,2020-12-17,0.5687,0.6584,0.5406,0.5777,5222853923.9
11,2020-12-18,0.5776,0.6142,0.5513,0.5843,2429505406.2
12,2020-12-19,0.5841,0.6054,0.5656,0.5770,1332148122.9
13,2020-12-20,0.5772,0.5875,0.5311,0.5559,1216928819.6
14,2020-12-21,0.5558,0.5699,0.4985,0.5152,1767470421.7
15,2020-12-22,0.5153,0.5227,0.4012,0.4452,3804407690.1
16,2020-12-23,0.4451,0.4473,0.2111,0.2588,14985919736.8
17,2020-12-24,0.2588,0.3780,0.2371,0.3394,10024950862.9
18,2020-12-25,0.3394,0.3860,0.2759,0.3178,9733465764.2
19,2020-12-26,0.3178,0.3289,0.2831,0.2952,4310050186.2
20,2020-12-27,0.2952,0.3124,0.2656,0.2844,3237396553.9
21,2020-12-28,0.2843,0.3113,0.2326,0.2473,3829241752.2
22,2020-12-29,0.2475,0.2528,0.1707,0.2213,12899665671.3
23,2020-12-30,0.2214,0.2368,0.1910,0.2113,6560269868.8
24,2020-12-31,0.2112,0.2295,0.2046,0.2196,3555598796.3
25,2021-01-01,0.2195,0.2516,0.2159,0.2377,3969333715.9
26,2021-01-02,0.2377,0.2385,0.2100,0.2210,2580820176.4
27,2021-01-03,0.2211,0.2402,0.2153,0.2265,2172269341.4
28,2021-01-04,0.2263,0.2630,0.2152,0.2361,3018635685.9
29,2021-01-05,0.2361,0.2433,0.2155,0.2258,2373323716.5
30,2021-01-06,0.2259,0.2744,0.2215,0.2489,3038120490.3
31,2021-01-07,0.2491,0.3722,0.2456,0.3243,7740961623.6
32,2021-01-08,0.3244,0.3499,0.2842,0.3206,4005453426.1
33,2021-01-09,0.3209,0.3415,0.3063,0.3247,2292514479.9
34,2021-01-10,0.3247,0.3688,0.2872,0.3152,3199655747.9
35,2021-01-11,0.3152,0.3171,0.2501,0.2877,3451973783.4
36,2021-01-12,0.2877,0.3110,0.2780,0.2928,1738204701.1
37,2021-01-13,0.2928,0.3109,0.2849,0.3059,1208709454.2
38,2021-01-14,0.3061,0.3097,0.2833,0.2970,1324252159.7
39,2021-01-15,0.2969,0.3043,0.2615,0.2803,1293159611.9
40,2021-01-16,0.2801,0.2976,0.2751,0.2797,966479844.0
41,2021-01-17,0.2796,0.2861,0.2688,0.2777,772816662.1
42,2021-01-18,0.2777,0.2896,0.2717,0.2857,785218817.4
43,2021-01-19,0.2858,0.3298,0.2845,0.2942,2002707295.5
44,2021-01-20,0.2943,0.3125,0.2796,0.2960,1384456147.7
45,2021-01-21,0.2960,0.3087,0.2597,0.2684,1481911012.8
46,2021-01-22,0.2683,0.2786,0.2387,0.2724,1208551246.7
47,2021-01-23,0.2724,0.2839,0.2657,0.2720,671514716.8
48,2021-01-24,0.2721,0.2783,0.2683,0.2739,506266833.2
49,2021-01-25,0.2739,0.2859,0.2667,0.2678,704289558.6
50,2021-01-26,0.2678,0.2713,0.2581,0.2686,516579916.7
51,2021-01-27,0.2686,0.2691,0.2440,0.2507,749040833.0
52,2021-01-28,0.2508,0.2705,0.2470,0.2645,605421817.6
53,2021-01-29,0.2645,0.3179,0.2601,0.2833,2741305541.4
54,2021-01-30,0.2833,0.5200,0.2778,0.4445,11680659562.7
55,2021-01-31,0.4448,0.5144,0.3884,0.4959,9867521095.6
56,2021-02-01,0.4959,0.7577,0.3600,0.3714,20031352048.6
57,2021-02-02,0.3716,0.4120,0.3400,0.3734,5080622188.3
58,2021-02-03,0.3734,0.4200,0.3730,0.3980,2856599419.9
59,2021-02-04,0.3979,0.4819,0.3800,0.4462,4293031635.1
60,2021-02-05,0.4463,0.4735,0.4236,0.4535,2859549892.2
61,2021-02-06,0.4534,0.4592,0.4260,0.4442,1568085592.8
62,2021-02-07,0.4441,0.4526,0.3878,0.4188,2064581819.8
63,2021-02-08,0.4188,0.4724,0.4131,0.4522,1730125643.9
64,2021-02-09,0.4523,0.4923,0.4500,0.4773,1974627674.3
65,2021-02-10,0.4772,0.5447,0.4400,0.5055,4177386964.8
66,2021-02-11,0.5055,0.5379,0.5009,0.5292,1748899485.4
67,2021-02-12,0.5291,0.6216,0.5204,0.6107,3173099691.5
68,2021-02-13,0.6108,0.6460,0.5401,0.6348,3442443936.4
69,2021-02-14,0.6348,0.6428,0.5600,0.5935,2115541404.8
70,2021-02-15,0.5935,0.6056,0.5000,0.5500,2664440095.4
71,2021-02-16,0.5500,0.5814,0.4800,0.5203,2653177482.1
72,2021-02-17,0.5202,0.5600,0.4930,0.5360,2034112211.0
73,2021-02-18,0.5361,0.5614,0.5186,0.5328,1286010664.4
74,2021-02-19,0.5330,0.5847,0.5128,0.5667,1792625220.9
75,2021-02-20,0.5666,0.5855,0.4684,0.5117,2010329977.1
76,2021-02-21,0.5118,0.5601,0.5030,0.5459,1662163078.9
77,2021-02-22,0.5460,0.6535,0.5076,0.5668,6412904082.4
78,2021-02-23,0.5669,0.5727,0.3523,0.4765,4758792739.8
79,2021-02-24,0.4765,0.5007,0.4512,0.4687,1587641244.6
