,time,open,high,low,close,volume
0,2020-12-07,2.326,2.331,2.220,2.278,7672031.0
1,2020-12-08,2.278,2.365,2.096,2.155,16495529.9
2,2020-12-09,2.154,2.200,2.036,2.176,11127502.5
3,2020-12-10,2.175,2.185,2.076,2.107,3983545.7
4,2020-12-11,2.109,2.115,2.047,2.080,4957070.6
5,2020-12-12,2.081,2.160,2.070,2.135,5010857.0
6,2020-12-13,2.135,2.272,2.125,2.233,9231098.7
7,2020-12-14,2.233,2.267,2.176,2.226,8010560.3
8,2020-12-15,2.226,2.262,2.181,2.232,5872273.8
9,2020-12-16,2.232,2.381,2.202,2.374,12009555.0
10,2020-12-17,2.371,2.447,2.271,2.302,20529406.9
11,2020-12-18,2.301,2.354,2.259,2.329,9255206.4
12,2020-12-19,2.329,2.396,2.303,2.326,8733594.2
13,2020-12-20,2.327,2.364,2.240,2.274,8764534.8
14,2020-12-21,2.273,2.318,2.116,2.183,11578305.4
15,2020-12-22,2.182,2.199,2.077,2.186,8427079.5
16,2020-12-23,2.186,2.204,1.543,1.817,23084622.9
17,2020-12-24,1.816,2.085,1.779,2.056,12612773.8
18,2020-12-25,2.056,2.118,1.974,2.028,11211945.2
19,2020-12-26,2.028,2.040,1.922,1.979,7664577.1
20,2020-12-27,1.979,2.149,1.880,2.008,15893761.3
21,2020-12-28,2.007,2.247,1.987,2.124,13417773.1
22,2020-12-29,2.124,2.180,1.983,2.046,12521338.0
23,2020-12-30,2.045,2.079,1.961,1.992,9599705.6
24,2020-12-31,1.992,2.025,1.939,2.011,7605705.7
25,2021-01-01,2.011,2.131,1.972,2.010,12522211.1
26,2021-01-02,2.010,2.061,1.943,2.003,12750424.6
27,2021-01-03,2.002,2.238,1.954,2.138,25260674.6
28,2021-01-04,2.139,2.366,2.012,2.330,42158712.0
29,2021-01-05,2.330,2.465,2.139,2.379,29864440.4
30,2021-01-06,2.380,2.745,2.294,2.659,31483578.5
31,2021-01-07,2.664,2.811,2.400,2.533,30338770.4
32,2021-01-08,2.534,2.582,2.246,2.461,24498934.5
33,2021-01-09,2.460,2.698,2.420,2.644,19616738.9
34,2021-01-10,2.643,2.960,2.413,2.768,39661348.7
35,2021-01-11,2.769,2.777,2.102,2.332,44171696.2
36,2021-01-12,2.332,2.452,2.197,2.303,23811265.2
37,2021-01-13,2.302,2.508,2.226,2.503,19921387.9
38,2021-01-14,2.503,2.620,2.411,2.557,22477932.0
39,2021-01-15,2.558,2.924,2.471,2.712,44502553.4
40,2021-01-16,2.711,3.195,2.704,2.855,55664140.2
41,2021-01-17,2.855,3.138,2.690,2.978,34489685.4
42,2021-01-18,2.980,3.123,2.840,3.043,25758517.8
43,2021-01-19,3.042,3.244,2.863,2.875,33843012.7
44,2021-01-20,2.875,2.955,2.650,2.916,21032278.3
45,2021-01-21,2.914,2.937,2.426,2.465,19214121.0
46,2021-01-22,2.464,3.116,2.311,2.917,45672155.0
47,2021-01-23,2.916,3.411,2.814,3.170,56465417.6
48,2021-01-24,3.169,3.303,2.905,3.049,32305553.2
49,2021-01-25,3.049,3.190,2.905,2.920,19139622.0
50,2021-01-26,2.922,3.018,2.755,2.910,15806448.5
51,2021-01-27,2.911,2.949,2.632,2.796,25245922.2
52,2021-01-28,2.797,3.093,2.720,3.004,30230734.8
53,2021-01-29,3.004,3.075,2.814,2.920,22887722.7
54,2021-01-30,2.919,3.028,2.801,2.902,21949342.9
55,2021-01-31,2.902,2.955,2.737,2.849,17629786.8
56,2021-02-01,2.849,2.941,2.760,2.928,17300085.0
57,2021-02-02,2.927,2.969,2.836,2.916,12361837.8
58,2021-02-03,2.915,3.218,2.887,3.055,31137700.8
59,2021-02-04,3.057,3.200,2.824,2.969,42806545.5
60,2021-02-05,2.970,3.539,2.959,3.478,41356112.5
61,2021-02-06,3.481,3.535,3.076,3.180,27371252.2
62,2021-02-07,3.181,3.478,3.058,3.316,37405530.4
63,2021-02-08,3.316,3.445,3.241,3.418,24221930.9
64,2021-02-09,3.418,3.911,3.182,3.778,62038082.9
65,2021-02-10,3.779,3.922,3.426,3.853,45503361.3
66,2021-02-11,3.856,4.336,3.808,4.120,39327459.2
67,2021-02-12,4.121,5.475,4.010,5.025,59017876.1
68,2021-02-13,5.027,5.398,4.586,5.383,54733293.4
69,2021-02-14,5.381,5.668,4.719,4.868,44325411.7
70,2021-02-15,4.869,4.979,3.781,4.548,56954674.2
71,2021-02-16,4.552,4.905,4.286,4.553,34418290.9
72,2021-02-17,4.551,4.784,4.188,4.620,30597823.9
73,2021-02-18,4.619,5.015,4.516,4.852,29978834.8
74,2021-02-19,4.854,5.145,4.563,4.988,27897830.4
75,2021-02-20,4.989,5.170,4.304,4.651,38805770.4
76,2021-02-21,4.646,4.820,4.506,4.681,24344722.8
77,2021-02-22,4.681,4.695,3.573,4.279,44205421.5
78,2021-02-23,4.278,4.303,2.874,3.552,63575843.6
79,2021-02-24,3.550,3.906,3.359,3.537,31804864.8
80,2021-02-25,3.535,3.847,3.301,3.342,30077034.0
81,2021-02-26,3.340,3.804,3.176,3.468,33200213.4
82,2021-02-27,3.470,3.863,3.469,3.640,24192938.7
83,2021-02-28,3.641,3.678,3.195,3.427,22598859.2
84,2021-03-01,3.426,3.697,3.390,3.641,17324139.7
85,2021-03-02,3.639,3.815,3.490,3.690,20869830.1
86,2021-03-03,3.691,4.008,3.662,3.846,23987217.9
87,2021-03-04,3.847,3.978,3.565,3.667,21159276.5
88,2021-03-05,3.668,3.866,3.447,3.768,21254748.1
89,2021-03-06,3.763,4.025,3.719,3.874,19425579.5
90,2021-03-07,3.876,4.216,3.828,4.204,18810656.1
91,2021-03-08,4.204,4.498,4.057,4.408,25605012.0
92,2021-03-09,4.410,4.600,4.340,4.475,17129650.8
93,2021-03-10,4.474,4.493,4.065,4.152,19751018.4
94,2021-03-11,4.148,4.205,3.949,4.131,13876524.0
95,2021-03-12,4.131,4.159,3.814,3.975,16530824.2
96,2021-03-13,3.973,4.245,3.808,4.175,14584750.5
97,2021-03-14,4.178,4.206,3.922,3.930,11565663.4
98,2021-03-15,3.932,4.068,3.737,3.837,15206489.7
99,2021-03-16,3.838,4.057,3.691,4.049,14693155.1
100,2021-03-17,4.049,4.469,3.850,4.420,22761472.8
101,2021-03-18,4.419,4.587,4.227,4.267,24245607.4
102,2021-03-19,4.267,4.363,4.111,4.231,15501680.2
103,2021-03-20,4.231,4.622,4.215,4.371,21984357.9
104,2021-03-21,4.369,4.438,4.047,4.178,16347063.2
105,2021-03-22,4.177,4.440,4.016,4.061,25318382.4
106,2021-03-23,4.062,4.249,3.950,4.133,18193432.5
107,2021-03-24,4.132,4.536,3.849,3.990,30087404.7
108,2021-03-25,3.989,4.083,3.747,3.924,23069659.0
109,2021-03-26,3.923,4.207,3.918,4.197,16021848.6
110,2021-03-27,4.197,4.231,4.025,4.112,13261025.3
111,2021-03-28,4.112,4.335,4.075,4.233,15259464.0
112,2021-03-29,4.231,4.647,4.190,4.599,23159757.9
113,2021-03-30,4.600,4.801,4.550,4.565,21676387.6
114,2021-03-31,4.566,4.893,4.210,4.839,23954591.9
115,2021-04-01,4.839,5.366,4.751,5.135,38562029.0
116,2021-04-02,5.136,5.400,4.984,5.312,20538710.7
117,2021-04-03,5.313,5.428,4.740,4.771,19569682.2
118,2021-04-04,4.771,5.217,4.675,5.140,11818894.7
119,2021-04-05,5.141,6.480,4.978,6.126,66448044.8
120,2021-04-06,6.123,6.825,5.808,6.177,55782562.0
121,2021-04-07,6.177,6.493,5.389,5.533,41558828.7
122,2021-04-08,5.535,6.248,5.478,6.173,17914542.6
123,2021-04-09,6.172,6.908,6.012,6.847,30341681.3
124,2021-04-10,6.847,7.240,6.251,6.576,34987035.9
125,2021-04-11,6.578,6.704,6.301,6.465,17859163.8
126,2021-04-12,6.467,6.530,6.106,6.299,17348075.4
127,2021-04-13,6.300,6.713,6.115,6.568,22502635.1
128,2021-04-14,6.568,6.931,6.150,6.578,28143487.6
129,2021-04-15,6.580,6.957,6.385,6.801,26197613.8
130,2021-04-16,6.804,7.500,6.550,7.213,50848311.8
131,2021-04-17,7.215,7.699,6.976,7.064,26625888.5
132,2021-04-18,7.068,7.188,5.145,6.194,53309525.0
133,2021-04-19,6.194,6.429,5.309,5.448,39457313.0
134,2021-04-20,5.449,5.718,4.953,5.707,33071283.7
135,2021-04-21,5.707,5.853,5.317,5.335,21207109.4
136,2021-04-22,5.335,5.767,4.849,4.924,28544933.6
137,2021-04-23,4.920,5.076,4.023,4.819,39336910.1
138,2021-04-24,4.818,4.831,4.400,4.444,15229340.5
139,2021-04-25,4.447,4.796,4.232,4.453,13553911.9
140,2021-04-26,4.453,5.362,4.386,5.227,24581739.0
141,2021-04-27,5.226,5.495,5.148,5.435,15519550.6
142,2021-04-28,5.435,5.556,5.067,5.252,14652409.7
143,2021-04-29,5.254,5.439,5.103,5.244,12696720.4
144,2021-04-30,5.245,5.665,5.130,5.622,17413705.0
145,2021-05-01,5.622,5.900,5.492,5.825,15226930.3
146,2021-05-02,5.828,5.869,5.457,5.614,12848857.2
147,2021-05-03,5.614,6.119,5.600,6.017,21008371.5
148,2021-05-04,6.019,6.074,5.403,5.495,32415100.8
149,2021-05-05,5.494,6.714,5.414,6.611,42169777.8
150,2021-05-06,6.610,8.094,6.456,7.594,55792595.9
151,2021-05-07,7.596,8.445,6.767,7.091,52139789.0
152,2021-05-08,7.091,7.328,6.826,6.985,25566335.2
153,2021-05-09,6.984,7.170,6.511,7.108,20395290.8
154,2021-05-10,7.108,7.269,5.873,6.194,30939355.3
155,2021-05-11,6.196,7.287,5.919,7.132,37611218.1
156,2021-05-12,7.131,7.341,5.872,5.976,43502876.5
