,time,open,high,low,close,volume
0,2020-12-07,74.66,76.86,73.62,75.63,311902.090
1,2020-12-08,75.63,75.85,68.60,69.61,243340.035
2,2020-12-09,69.59,71.06,66.00,69.38,231686.329
3,2020-12-10,69.34,69.92,65.24,65.96,172015.215
4,2020-12-11,65.98,66.15,62.45,63.71,202062.636
5,2020-12-12,63.72,66.77,63.50,66.03,129771.223
6,2020-12-13,66.03,69.42,65.19,68.25,181902.854
7,2020-12-14,68.24,68.65,66.30,68.05,147715.637
8,2020-12-15,68.05,69.18,66.39,67.71,131593.689
9,2020-12-16,67.71,73.36,66.85,73.27,273251.421
10,2020-12-17,73.25,78.10,72.23,74.33,450182.806
11,2020-12-18,74.33,76.58,71.75,73.95,255993.295
12,2020-12-19,73.98,76.26,73.13,73.61,183061.047
13,2020-12-20,73.61,78.07,71.76,73.77,375100.591
14,2020-12-21,73.76,77.83,67.57,67.83,433168.509
15,2020-12-22,67.88,69.15,63.48,67.69,324605.604
16,2020-12-23,67.68,68.64,46.74,55.44,562787.885
17,2020-12-24,55.43,62.30,54.03,62.12,347686.858
18,2020-12-25,62.11,65.21,60.41,64.30,289578.845
19,2020-12-26,64.31,70.28,63.54,66.62,307241.584
20,2020-12-27,66.66,71.77,62.84,67.04,432814.864
21,2020-12-28,67.06,71.46,66.31,69.12,290179.229
22,2020-12-29,69.11,70.69,61.60,65.42,344221.959
23,2020-12-30,65.47,66.39,62.88,64.16,196398.334
24,2020-12-31,64.14,64.62,61.22,63.94,167253.771
25,2021-01-01,63.97,67.34,54.29,56.59,1382590.588
26,2021-01-02,56.63,59.98,55.19,57.54,728339.306
27,2021-01-03,57.52,62.01,56.32,59.53,480732.426
28,2021-01-04,59.52,65.28,56.68,60.43,715802.880
29,2021-01-05,60.44,61.29,57.93,59.75,285347.267
30,2021-01-06,59.72,65.49,59.06,64.05,494798.317
31,2021-01-07,64.09,74.71,63.07,67.88,1018117.682
32,2021-01-08,67.89,70.19,61.20,68.69,670206.758
33,2021-01-09,68.69,80.10,65.87,78.63,523147.935
34,2021-01-10,78.62,99.00,75.85,96.63,2501616.749
35,2021-01-11,96.60,109.45,77.64,88.20,3317351.817
36,2021-01-12,88.24,106.13,84.32,99.82,1892117.071
37,2021-01-13,99.83,120.89,92.59,117.56,1436715.106
38,2021-01-14,117.49,119.14,106.00,111.88,702678.167
39,2021-01-15,111.93,115.45,94.50,103.30,787903.118
40,2021-01-16,103.28,114.12,101.78,108.25,691737.705
41,2021-01-17,108.32,109.19,98.09,102.37,455703.349
42,2021-01-18,102.30,106.68,100.17,104.21,386314.200
43,2021-01-19,104.30,113.39,102.42,102.64,513727.525
44,2021-01-20,102.64,104.10,90.60,99.17,503484.514
45,2021-01-21,99.20,99.70,82.59,83.06,485111.420
46,2021-01-22,83.05,91.72,76.20,87.00,453451.936
47,2021-01-23,87.01,90.60,83.79,86.13,314085.633
48,2021-01-24,86.07,92.50,85.01,90.14,434948.172
49,2021-01-25,90.14,96.65,87.91,88.00,459680.505
50,2021-01-26,87.97,90.45,83.78,89.32,373836.973
51,2021-01-27,89.31,89.39,77.24,78.55,350627.482
52,2021-01-28,78.59,88.87,77.03,86.97,376669.681
53,2021-01-29,86.99,90.55,82.40,85.65,426324.490
54,2021-01-30,85.65,86.49,82.87,84.63,198416.294
55,2021-01-31,84.62,87.81,82.53,85.77,262915.068
56,2021-02-01,85.73,89.82,84.15,88.89,307646.087
57,2021-02-02,88.89,94.79,88.47,92.53,413242.406
58,2021-02-03,92.54,97.25,92.54,95.49,245658.643
59,2021-02-04,95.48,97.08,88.88,90.06,312460.759
60,2021-02-05,90.10,97.00,89.29,96.78,391389.049
61,2021-02-06,96.70,99.29,92.13,94.54,452272.376
62,2021-02-07,94.54,95.92,88.75,92.41,356023.030
63,2021-02-08,92.48,98.78,91.25,98.30,334824.060
64,2021-02-09,98.36,110.59,97.54,109.05,540340.526
65,2021-02-10,109.06,122.68,106.27,116.60,799435.785
66,2021-02-11,116.64,150.61,113.13,142.70,986998.825
67,2021-02-12,142.72,149.73,133.00,143.15,607840.723
68,2021-02-13,143.15,191.27,143.12,176.61,1346659.475
69,2021-02-14,176.59,180.67,153.09,156.62,726608.892
70,2021-02-15,156.63,180.00,124.72,158.99,1204752.345
