,time,open,high,low,close,volume
0,2020-12-07,12.329,12.516,11.522,11.976,474436.2
1,2020-12-08,11.987,12.789,10.150,10.394,1136719.6
2,2020-12-09,10.389,11.040,9.800,10.638,610101.9
3,2020-12-10,10.652,10.699,9.720,10.106,439553.5
4,2020-12-11,10.098,10.178,8.957,9.062,453910.2
5,2020-12-12,9.045,10.407,9.026,10.211,551339.8
6,2020-12-13,10.213,11.430,9.892,11.033,827693.7
7,2020-12-14,11.041,12.243,10.928,11.358,1070205.8
8,2020-12-15,11.367,11.860,10.651,11.155,704562.9
9,2020-12-16,11.153,12.800,10.700,12.714,797108.8
10,2020-12-17,12.723,13.693,11.853,12.037,1277822.5
11,2020-12-18,12.036,12.700,11.710,12.123,665863.6
12,2020-12-19,12.127,12.711,12.012,12.103,599037.5
13,2020-12-20,12.114,12.522,11.181,11.443,551251.2
14,2020-12-21,11.454,11.685,10.312,10.469,688352.5
15,2020-12-22,10.480,10.970,9.995,10.362,494628.4
16,2020-12-23,10.357,10.585,8.279,8.673,597153.9
17,2020-12-24,8.666,9.959,8.310,9.785,584872.3
18,2020-12-25,9.788,11.378,9.609,11.237,1080792.7
19,2020-12-26,11.249,12.232,10.458,11.924,748134.3
20,2020-12-27,11.933,13.331,11.921,12.590,1151507.2
21,2020-12-28,12.600,13.209,11.725,12.205,430759.2
22,2020-12-29,12.207,12.386,10.275,11.606,717703.5
23,2020-12-30,11.616,12.285,10.614,10.849,585478.0
24,2020-12-31,10.855,11.706,10.324,11.608,454728.1
25,2021-01-01,11.597,14.661,11.335,11.802,2555854.8
26,2021-01-02,11.806,12.435,11.252,11.784,977518.0
27,2021-01-03,11.780,14.793,11.634,13.599,1633738.1
28,2021-01-04,13.588,15.110,11.568,13.497,1191057.0
29,2021-01-05,13.495,14.963,12.786,14.447,660293.5
30,2021-01-06,14.456,16.578,13.565,16.195,884523.6
31,2021-01-07,16.186,16.242,13.800,14.632,661005.4
32,2021-01-08,14.636,14.961,13.097,14.508,547258.5
33,2021-01-09,14.512,16.100,14.050,15.777,456030.6
