Date,Close,Open,High,Low,Volume,Change
2010-07-20,1191.5,1183.2,1191.6,1181.5,10.0,0.0083
2010-07-21,1191.6,1190.7,1194.5,1184.1,20.0,0.0001
2010-07-22,1195.5,1194.4,1196.0,1194.4,80.0,0.0033
2010-07-23,1187.7,1193.7,1198.6,1188.0,30.0,-0.006500000000000001
2010-07-26,1183.0,1192.6,1192.6,1182.2,40.0,-0.004
2010-07-27,1158.0,1174.0,1174.2,1162.7,30.0,-0.021099999999999997
2010-07-29,1168.4,1163.8,1169.2,1158.7,54380.0,0.0069
2010-07-30,1181.7,1168.2,1183.1,1165.8,5470.0,0.011399999999999999
2010-08-02,1183.4,1181.8,1191.8,1174.7,2500.0,0.0014000000000000002
2010-08-03,1185.2,1183.8,1190.5,1180.0,600.0,0.0015
2010-08-04,1193.7,1186.3,1203.0,1186.3,1070.0,0.0072
2010-08-05,1197.2,1194.3,1199.5,1190.0,210.0,0.0029
2010-08-06,1203.4,1195.4,1211.0,1195.3,350.0,0.0052
2010-08-09,1200.7,1205.8,1209.6,1199.8,660.0,-0.0022
2010-08-10,1196.2,1200.5,1206.5,1191.0,710.0,-0.0037
2010-08-11,1197.5,1202.8,1208.0,1193.0,350.0,0.0011
2010-08-12,1214.8,1200.5,1215.5,1199.0,290.0,0.0144
2010-08-13,1214.9,1212.8,1216.0,1212.5,140.0,0.0001
2010-08-16,1224.5,1218.0,1225.4,1218.0,250.0,0.0079
2010-08-17,1226.6,1227.4,1227.4,1224.0,80.0,0.0017000000000000001
2010-08-18,1229.7,1226.0,1231.6,1218.0,170.0,0.0025
2010-08-19,1233.8,1229.6,1237.6,1228.8,50.0,0.0033
2010-08-20,1227.2,1232.5,1232.8,1223.0,240.0,-0.0053
2010-08-23,1226.9,1228.9,1228.9,1222.9,60.0,-0.0002
2010-08-24,1231.8,1223.0,1234.0,1211.5,300.0,0.004
2010-08-25,1239.5,1230.7,1240.7,1230.7,300.0,0.0063
2010-08-26,1235.4,1240.9,1243.3,1235.0,100.0,-0.0033
2010-08-27,1236.0,1235.7,1241.9,1234.8,30.0,0.0005
2010-08-30,1237.1,1237.1,1237.9,1234.0,130.0,0.0009
2010-08-31,1248.3,1237.1,1249.4,1233.0,120.0,0.0091
2010-09-01,1246.3,1252.3,1254.3,1243.6,40.0,-0.0016
2010-09-02,1251.5,1247.1,1252.5,1246.9,100.0,0.0042
2010-09-07,1257.3,1256.1,1258.0,1248.9,10.0,0.006500000000000001
2010-09-08,1255.6,1260.2,1260.2,1254.7,30.0,-0.0014000000000000002
2010-09-09,1248.9,1253.9,1256.4,1244.1,10.0,-0.0053
2010-09-10,1244.5,1239.0,1249.6,1239.0,20.0,-0.0034999999999999996
2010-09-13,1245.1,1242.6,1247.0,1242.6,20.0,0.0005
2010-09-14,1269.7,1253.8,1272.4,1253.4,90.0,0.019799999999999998
2010-09-15,1266.7,1268.4,1269.8,1263.5,30.0,-0.0024
2010-09-16,1271.9,1268.7,1275.2,1266.6,40.0,0.0040999999999999995
2010-09-17,1275.6,1275.8,1279.6,1273.8,50.0,0.0029
2010-09-20,1279.0,1281.7,1282.0,1279.3,30.0,0.0027
2010-09-21,1272.4,1278.2,1289.8,1271.8,60.0,-0.0052
2010-09-22,1290.2,1293.5,1294.5,1288.5,20.0,0.013999999999999999
2010-09-23,1294.3,1289.4,1294.2,1289.4,50.0,0.0032
2010-09-24,1296.0,1296.8,1297.4,1294.2,40.0,0.0013
2010-09-27,1296.7,1297.8,1297.9,1296.3,70.0,0.0005
2010-09-28,1306.6,1287.5,1308.6,1287.5,80.0,0.0076
2010-09-29,1308.5,1309.4,1312.5,1305.0,6750.0,0.0015
2010-09-30,1307.8,1307.2,1315.2,1295.7,580.0,-0.0005
2010-10-01,1316.1,1309.0,1320.0,1309.0,150.0,0.0063
2010-10-04,1315.4,1318.3,1319.1,1312.0,100.0,-0.0005
2010-10-05,1338.9,1312.9,1341.1,1312.9,200.0,0.0179
2010-10-06,1346.4,1339.1,1349.0,1339.0,220.0,0.005600000000000001
2010-10-07,1333.9,1347.9,1363.2,1325.7,260.0,-0.009300000000000001
2010-10-08,1344.2,1333.5,1348.4,1325.0,80.0,0.0077
2010-10-11,1353.3,1346.7,1353.7,1344.0,80.0,0.0068000000000000005
2010-10-12,1345.7,1346.9,1352.2,1343.6,110.0,-0.005600000000000001
2010-10-13,1369.5,1356.4,1374.0,1355.1,250.0,0.0177
2010-10-14,1376.7,1372.8,1383.9,1371.3,110.0,0.0053
2010-10-15,1371.1,1379.2,1382.4,1364.7,170.0,-0.0040999999999999995
2010-10-18,1371.2,1358.0,1372.6,1358.0,50.0,0.0001
2010-10-19,1335.1,1366.8,1370.5,1328.5,300.0,-0.0263
2010-10-20,1343.3,1336.0,1345.8,1334.2,150.0,0.0060999999999999995
2010-10-21,1324.7,1344.2,1346.2,1317.5,100.0,-0.0138
2010-10-22,1324.4,1326.7,1328.1,1319.0,110.0,-0.0002
