,time,open,high,low,close,volume
0,2020-12-07,0.03537,0.03656,0.03351,0.03557,784653822
1,2020-12-08,0.03556,0.03561,0.03078,0.03140,775327118
2,2020-12-09,0.03140,0.03246,0.02853,0.03104,586956579
3,2020-12-10,0.03102,0.03356,0.02948,0.03259,636837219
4,2020-12-11,0.03259,0.03280,0.02931,0.02946,742454579
5,2020-12-12,0.02947,0.03310,0.02934,0.03263,363356559
6,2020-12-13,0.03261,0.03396,0.03223,0.03273,354561087
7,2020-12-14,0.03272,0.03318,0.03155,0.03296,228715120
8,2020-12-15,0.03296,0.03562,0.03228,0.03499,518263742
9,2020-12-16,0.03501,0.03985,0.03410,0.03924,1393845423
10,2020-12-17,0.03924,0.04046,0.03661,0.03785,987574151
11,2020-12-18,0.03786,0.04485,0.03675,0.04373,1266810157
12,2020-12-19,0.04373,0.05400,0.04362,0.05012,2557104386
13,2020-12-20,0.05012,0.05388,0.04451,0.04626,1409595578
14,2020-12-21,0.04624,0.05418,0.04549,0.04935,1758666275
15,2020-12-22,0.04937,0.05312,0.04474,0.05130,945617791
16,2020-12-23,0.05130,0.06502,0.05092,0.05705,2690279964
17,2020-12-24,0.05705,0.06189,0.05021,0.05915,1432103151
18,2020-12-25,0.05914,0.06599,0.05760,0.06314,986563359
19,2020-12-26,0.06314,0.09330,0.06259,0.08651,2577644917
20,2020-12-27,0.08651,0.09902,0.07340,0.07641,3281502376
21,2020-12-28,0.07641,0.09300,0.07529,0.08910,1463974553
22,2020-12-29,0.08910,0.09066,0.07735,0.08423,799047894
23,2020-12-30,0.08421,0.08460,0.07015,0.07704,983683176
24,2020-12-31,0.07702,0.08555,0.07192,0.08251,853112019
25,2021-01-01,0.08253,0.08870,0.07725,0.07883,706101501
26,2021-01-02,0.07881,0.08100,0.07041,0.07226,539285032
27,2021-01-03,0.07227,0.07681,0.06479,0.06800,1135776166
28,2021-01-04,0.06809,0.07817,0.06632,0.07005,922130419
29,2021-01-05,0.07008,0.07506,0.06540,0.07043,758827062
30,2021-01-06,0.07038,0.08545,0.06975,0.07804,977390134
31,2021-01-07,0.07811,0.08512,0.07038,0.07601,908157582
32,2021-01-08,0.07603,0.07746,0.06794,0.07339,556115678
33,2021-01-09,0.07338,0.08043,0.07113,0.07613,509865813
34,2021-01-10,0.07614,0.08392,0.06713,0.07301,786970023
35,2021-01-11,0.07296,0.07338,0.05150,0.06487,1140765166
36,2021-01-12,0.06488,0.07093,0.05809,0.06201,598918976
37,2021-01-13,0.06201,0.07230,0.05877,0.07055,456733218
38,2021-01-14,0.07055,0.07260,0.06616,0.06921,563521347
39,2021-01-15,0.06921,0.07040,0.06001,0.06625,484241808
40,2021-01-16,0.06625,0.07626,0.06601,0.07350,677326530
41,2021-01-17,0.07349,0.07962,0.06976,0.07357,641615397
42,2021-01-18,0.07359,0.08150,0.07066,0.07899,729892318
43,2021-01-19,0.07899,0.07958,0.07206,0.07362,444625084
44,2021-01-20,0.07362,0.07563,0.06819,0.07420,456250222
45,2021-01-21,0.07420,0.07495,0.06054,0.06222,393789953
46,2021-01-22,0.06217,0.06974,0.05680,0.06757,386843203
47,2021-01-23,0.06757,0.07057,0.06542,0.06801,283413550
48,2021-01-24,0.06798,0.07288,0.06724,0.06920,306127712
49,2021-01-25,0.06924,0.07223,0.06568,0.06674,271918232
50,2021-01-26,0.06676,0.06861,0.06361,0.06793,285504787
51,2021-01-27,0.06792,0.06837,0.06004,0.06206,308664430
52,2021-01-28,0.06208,0.06790,0.06138,0.06551,250975862
53,2021-01-29,0.06554,0.07162,0.06328,0.06740,499207405
54,2021-01-30,0.06739,0.07900,0.06469,0.07340,695206113
55,2021-01-31,0.07346,0.08154,0.06622,0.06923,700152921
56,2021-02-01,0.06920,0.07759,0.06701,0.07524,516157983
57,2021-02-02,0.07519,0.08191,0.07206,0.07779,555805631
58,2021-02-03,0.07782,0.08375,0.07562,0.07979,503474135
59,2021-02-04,0.07975,0.08091,0.07176,0.07642,409256879
60,2021-02-05,0.07644,0.08611,0.07560,0.08279,622504783
61,2021-02-06,0.08278,0.08340,0.07536,0.07902,376216046
62,2021-02-07,0.07903,0.08164,0.07295,0.07612,339351779
63,2021-02-08,0.07612,0.08282,0.07500,0.08011,377294728
64,2021-02-09,0.08008,0.10996,0.08004,0.10515,1058122159
65,2021-02-10,0.10520,0.11563,0.09066,0.10434,947811814
66,2021-02-11,0.10427,0.12095,0.10339,0.11582,619497835
67,2021-02-12,0.11589,0.12100,0.10710,0.11826,391549585
68,2021-02-13,0.11836,0.16125,0.11759,0.14832,1278922115
69,2021-02-14,0.14842,0.16011,0.12646,0.13368,730369705
70,2021-02-15,0.13377,0.14702,0.10862,0.13201,854628179
71,2021-02-16,0.13211,0.14058,0.12263,0.13177,471743764
72,2021-02-17,0.13163,0.14014,0.12115,0.13741,390041900
73,2021-02-18,0.13755,0.14599,0.13312,0.13941,384385735
74,2021-02-19,0.13948,0.14980,0.12750,0.14952,450977022
75,2021-02-20,0.14958,0.15705,0.12428,0.13518,638334516
76,2021-02-21,0.13528,0.14306,0.13094,0.13725,350422187
77,2021-02-22,0.13735,0.13996,0.09950,0.12327,609374822
78,2021-02-23,0.12318,0.12441,0.07977,0.10531,813538368
79,2021-02-24,0.10537,0.12317,0.09842,0.11194,544226035
80,2021-02-25,0.11199,0.12510,0.10796,0.10894,331123039
81,2021-02-26,0.10898,0.11585,0.10170,0.10932,321561929
82,2021-02-27,0.10931,0.12088,0.10903,0.11563,244734697
83,2021-02-28,0.11565,0.11651,0.09845,0.10756,282245462
84,2021-03-01,0.10754,0.11868,0.10638,0.11604,225261033
85,2021-03-02,0.11603,0.12000,0.10946,0.11414,249877016
86,2021-03-03,0.11415,0.13093,0.11262,0.12632,331293589
87,2021-03-04,0.12630,0.12889,0.11556,0.11849,356167935
88,2021-03-05,0.11850,0.11865,0.10972,0.11593,204166511
89,2021-03-06,0.11598,0.11856,0.11124,0.11602,144218156
90,2021-03-07,0.11606,0.11962,0.11442,0.11824,151289902
91,2021-03-08,0.11830,0.12788,0.11474,0.12563,302474020
92,2021-03-09,0.12561,0.13600,0.12253,0.13493,385080620
93,2021-03-10,0.13493,0.13574,0.12244,0.12763,365479184
94,2021-03-11,0.12762,0.18057,0.12761,0.17688,1637946504
95,2021-03-12,0.17687,0.19795,0.15584,0.16357,1141621352
96,2021-03-13,0.16357,0.18442,0.15362,0.18309,606697823
97,2021-03-14,0.18327,0.18829,0.16211,0.16435,444553524
98,2021-03-15,0.16434,0.17426,0.14594,0.16114,522813434
99,2021-03-16,0.16110,0.16652,0.14998,0.15534,399202306
100,2021-03-17,0.15535,0.20000,0.15130,0.19728,1386013311
101,2021-03-18,0.19713,0.20400,0.17538,0.17940,715697288
102,2021-03-19,0.17936,0.19430,0.17335,0.18410,398628757
103,2021-03-20,0.18409,0.19055,0.17064,0.17110,325233828
104,2021-03-21,0.17119,0.17665,0.16545,0.17489,263579452
105,2021-03-22,0.17491,0.18333,0.16023,0.16168,354448569
106,2021-03-23,0.16170,0.16967,0.15431,0.16651,329594285
107,2021-03-24,0.16655,0.18320,0.15000,0.15688,548123795
108,2021-03-25,0.15682,0.16228,0.14627,0.15401,403652097
109,2021-03-26,0.15401,0.16889,0.15400,0.16719,315285683
110,2021-03-27,0.16719,0.17272,0.16008,0.16706,246037808
111,2021-03-28,0.16711,0.17644,0.16340,0.17178,326111373
112,2021-03-29,0.17178,0.18059,0.17026,0.17829,245449015
113,2021-03-30,0.17828,0.18966,0.17400,0.18368,309656015
114,2021-03-31,0.18377,0.18777,0.16677,0.17683,321982420
115,2021-04-01,0.17689,0.18227,0.17100,0.17768,228212397
116,2021-04-02,0.17770,0.21600,0.17631,0.20321,636651473
117,2021-04-03,0.20312,0.20901,0.18020,0.18169,443611007
118,2021-04-04,0.18175,0.22610,0.17846,0.22227,669780834
119,2021-04-05,0.22241,0.22882,0.20721,0.21250,530154330
120,2021-04-06,0.21251,0.22320,0.19371,0.20562,470221165
121,2021-04-07,0.20564,0.20638,0.18168,0.19142,461523703
122,2021-04-08,0.19138,0.20950,0.18959,0.20650,300736985
123,2021-04-09,0.20644,0.22039,0.20013,0.21962,291542731
124,2021-04-10,0.21964,0.22021,0.20240,0.20851,257495644
125,2021-04-11,0.20852,0.21016,0.20166,0.20510,202955088
126,2021-04-12,0.20517,0.20611,0.19350,0.19688,248798625
127,2021-04-13,0.19688,0.20704,0.19170,0.20361,330126902
128,2021-04-14,0.20350,0.20452,0.18804,0.20048,361833393
129,2021-04-15,0.20051,0.22029,0.19700,0.21622,411282699
130,2021-04-16,0.21629,0.24354,0.19520,0.23711,585877172
131,2021-04-17,0.23730,0.25548,0.21542,0.22067,637159295
132,2021-04-18,0.22069,0.22505,0.16959,0.20189,669016520
133,2021-04-19,0.20193,0.20914,0.17760,0.18115,381642125
134,2021-04-20,0.18111,0.19596,0.16339,0.19252,514336819
135,2021-04-21,0.19253,0.19499,0.17458,0.17604,311058796
136,2021-04-22,0.17596,0.19190,0.15706,0.16184,519794764
137,2021-04-23,0.16177,0.16640,0.11492,0.15916,954476343
138,2021-04-24,0.15920,0.15980,0.14232,0.14336,248077711
139,2021-04-25,0.14340,0.15624,0.13270,0.14131,245074754
140,2021-04-26,0.14129,0.16752,0.13957,0.16441,280070302
141,2021-04-27,0.16443,0.21644,0.16052,0.21286,1140332518
142,2021-04-28,0.21290,0.22408,0.18296,0.19862,837525951
143,2021-04-29,0.19865,0.20267,0.18262,0.19226,370701227
144,2021-04-30,0.19221,0.21035,0.18826,0.20542,305319866
145,2021-05-01,0.20543,0.21740,0.20074,0.21045,342005755
146,2021-05-02,0.21050,0.21118,0.19823,0.20457,215015326
147,2021-05-03,0.20457,0.22526,0.20379,0.21217,436091893
