,time,open,high,low,close,volume
0,2020-12-07,0.4006,0.4146,0.3979,0.4051,8030230.9
1,2020-12-08,0.4051,0.4077,0.3709,0.3800,11926854.7
2,2020-12-09,0.3805,0.3848,0.3566,0.3819,8344536.4
3,2020-12-10,0.3818,0.3835,0.3632,0.3703,6799204.7
4,2020-12-11,0.3704,0.3720,0.3471,0.3561,12387674.5
5,2020-12-12,0.3564,0.4004,0.3558,0.3925,21496455.3
6,2020-12-13,0.3923,0.4056,0.3862,0.3963,15110580.0
7,2020-12-14,0.3964,0.3998,0.3824,0.3872,10249767.7
8,2020-12-15,0.3873,0.4030,0.3852,0.3920,9851906.7
9,2020-12-16,0.3920,0.4162,0.3820,0.4152,15465135.9
10,2020-12-17,0.4150,0.4271,0.3965,0.4072,22689340.2
11,2020-12-18,0.4074,0.4307,0.3987,0.4130,17769153.9
12,2020-12-19,0.4130,0.4357,0.4126,0.4243,12470940.8
13,2020-12-20,0.4241,0.4244,0.3900,0.3965,11588058.7
14,2020-12-21,0.3965,0.4058,0.3700,0.3774,13981899.3
15,2020-12-22,0.3774,0.3859,0.3580,0.3758,11594696.6
16,2020-12-23,0.3753,0.3825,0.3091,0.3310,22471801.3
17,2020-12-24,0.3313,0.3706,0.3203,0.3643,14996635.3
18,2020-12-25,0.3642,0.3790,0.3525,0.3590,9985038.4
19,2020-12-26,0.3590,0.3679,0.3501,0.3548,11232024.0
20,2020-12-27,0.3548,0.4282,0.3548,0.3743,62904289.2
21,2020-12-28,0.3747,0.3962,0.3677,0.3778,15319320.2
22,2020-12-29,0.3778,0.3846,0.3485,0.3666,12516842.8
23,2020-12-30,0.3660,0.3728,0.3483,0.3604,9177488.4
24,2020-12-31,0.3601,0.3710,0.3482,0.3556,11779877.0
25,2021-01-01,0.3556,0.3763,0.3511,0.3747,15223324.0
26,2021-01-02,0.3745,0.3973,0.3581,0.3611,25849168.7
27,2021-01-03,0.3612,0.3980,0.3571,0.3942,26788501.9
28,2021-01-04,0.3939,0.4223,0.3643,0.3961,49110125.9
29,2021-01-05,0.3964,0.4562,0.3828,0.4464,43131188.2
30,2021-01-06,0.4467,0.4979,0.4311,0.4631,51324896.6
31,2021-01-07,0.4631,0.4947,0.4301,0.4396,33317199.6
32,2021-01-08,0.4399,0.4620,0.4008,0.4401,31053235.4
33,2021-01-09,0.4400,0.6150,0.4266,0.5446,85688684.5
34,2021-01-10,0.5438,0.5873,0.4590,0.5286,51329223.8
35,2021-01-11,0.5288,0.5291,0.3831,0.4369,40279663.3
36,2021-01-12,0.4365,0.4609,0.4105,0.4285,23002657.5
37,2021-01-13,0.4286,0.5387,0.4286,0.5069,56897142.6
38,2021-01-14,0.5069,0.5234,0.4823,0.5052,23876446.1
39,2021-01-15,0.5051,0.5598,0.4600,0.5162,48726116.2
40,2021-01-16,0.5168,0.5668,0.5008,0.5276,31422461.6
41,2021-01-17,0.5277,0.6327,0.5130,0.5965,51280625.9
42,2021-01-18,0.5967,0.6299,0.5683,0.5873,23363239.6
43,2021-01-19,0.5875,0.6017,0.5401,0.5431,20076666.9
44,2021-01-20,0.5426,0.5624,0.4977,0.5594,20461957.6
45,2021-01-21,0.5588,0.5626,0.4591,0.4657,20894978.3
46,2021-01-22,0.4650,0.5347,0.4345,0.5112,19502802.7
47,2021-01-23,0.5110,0.5786,0.4968,0.5637,20096279.4
48,2021-01-24,0.5637,0.5768,0.5228,0.5490,22579240.3
49,2021-01-25,0.5492,0.5646,0.5142,0.5204,13981356.5
50,2021-01-26,0.5209,0.5538,0.4961,0.5445,20834786.3
51,2021-01-27,0.5442,0.6038,0.5115,0.5839,46876261.3
52,2021-01-28,0.5844,0.6791,0.5774,0.6099,45035600.1
53,2021-01-29,0.6101,0.6230,0.5760,0.6025,26880343.4
54,2021-01-30,0.6025,0.6592,0.5775,0.6568,18057872.5
55,2021-01-31,0.6574,0.7974,0.6315,0.7072,68319718.2
56,2021-02-01,0.7076,0.7087,0.6427,0.6883,19204813.9
57,2021-02-02,0.6889,0.6959,0.6611,0.6871,11900919.3
58,2021-02-03,0.6866,0.7713,0.6725,0.7695,22806268.4
59,2021-02-04,0.7695,1.1666,0.7169,1.0361,94865403.4
60,2021-02-05,1.0358,1.9757,1.0058,1.5955,328277197.7
61,2021-02-06,1.5952,1.6772,1.3448,1.4559,128655796.4
62,2021-02-07,1.4563,1.5093,1.2563,1.4123,62311896.6
63,2021-02-08,1.4129,1.6752,1.4119,1.4750,62995229.2
64,2021-02-09,1.4763,1.6001,1.4339,1.5150,44005830.3
65,2021-02-10,1.5149,1.6511,1.3263,1.5045,56511462.5
66,2021-02-11,1.5045,1.8455,1.4608,1.7706,62593674.6
67,2021-02-12,1.7729,2.0456,1.7130,1.8049,55536874.2
68,2021-02-13,1.8057,1.9487,1.6488,1.8951,32831710.4
69,2021-02-14,1.8969,2.0233,1.6800,1.7969,39155974.7
70,2021-02-15,1.7965,1.8219,1.3943,1.6165,31486849.6
71,2021-02-16,1.6183,1.7120,1.5073,1.5866,21293408.0
72,2021-02-17,1.5867,1.6087,1.4212,1.5690,23695997.6
73,2021-02-18,1.5702,1.6410,1.5180,1.6150,15488572.5
74,2021-02-19,1.6161,1.6481,1.5068,1.5670,18041994.1
75,2021-02-20,1.5672,1.7123,1.4390,1.5326,39496483.7
76,2021-02-21,1.5314,1.7566,1.4900,1.7260,27977944.3
77,2021-02-22,1.7274,1.9254,1.2500,1.5607,68378687.6
78,2021-02-23,1.5611,1.8917,1.2000,1.5802,91255852.8
79,2021-02-24,1.5800,1.6690,1.4187,1.5231,33659787.4
80,2021-02-25,1.5221,1.5921,1.3699,1.3929,20508206.2
81,2021-02-26,1.3924,1.4177,1.2449,1.3174,30219221.6
82,2021-02-27,1.3174,1.4029,1.2910,1.3320,20037502.2
83,2021-02-28,1.3318,1.3458,1.1319,1.2120,24326722.1
84,2021-03-01,1.2128,1.3822,1.2018,1.3572,23612439.3
85,2021-03-02,1.3581,1.4352,1.2834,1.3603,26379762.3
86,2021-03-03,1.3611,1.5349,1.3363,1.4641,23653544.3
87,2021-03-04,1.4638,1.5013,1.3558,1.3751,19718108.8
88,2021-03-05,1.3756,1.3964,1.2889,1.3423,14726213.7
89,2021-03-06,1.3421,1.4161,1.3164,1.3721,17281161.1
90,2021-03-07,1.3734,1.4300,1.3568,1.4232,15691154.3
91,2021-03-08,1.4221,1.4775,1.3680,1.4241,17487679.2
92,2021-03-09,1.4246,1.4807,1.3954,1.4796,17571668.6
93,2021-03-10,1.4802,1.4962,1.3583,1.3936,20130615.0
94,2021-03-11,1.3944,1.4099,1.3279,1.3773,13930050.8
95,2021-03-12,1.3782,1.3913,1.2867,1.3407,16854367.3
96,2021-03-13,1.3412,1.4267,1.2883,1.3950,14895262.1
97,2021-03-14,1.3955,1.4045,1.3138,1.3254,12715718.4
98,2021-03-15,1.3253,1.3786,1.2526,1.3284,17452851.4
99,2021-03-16,1.3279,1.4441,1.2759,1.4327,22207931.7
100,2021-03-17,1.4324,1.4525,1.3365,1.4486,17395708.3
101,2021-03-18,1.4484,1.7466,1.4222,1.5179,70652798.6
102,2021-03-19,1.5176,1.6567,1.4617,1.5610,32947550.0
103,2021-03-20,1.5618,1.6324,1.4900,1.5019,23253277.3
104,2021-03-21,1.5024,1.5293,1.4200,1.4600,18563545.2
105,2021-03-22,1.4601,1.5756,1.3880,1.4176,26187893.3
106,2021-03-23,1.4177,1.5347,1.3514,1.4980,24446669.7
107,2021-03-24,1.4980,1.6092,1.3124,1.3688,36421447.4
108,2021-03-25,1.3693,1.3995,1.2617,1.3119,29121632.6
109,2021-03-26,1.3118,1.3968,1.3112,1.3880,13380652.3
110,2021-03-27,1.3881,1.4421,1.3520,1.4183,24220892.5
111,2021-03-28,1.4179,1.4851,1.3840,1.4560,18380837.2
112,2021-03-29,1.4562,1.6103,1.4512,1.5997,25756012.1
113,2021-03-30,1.5995,1.9264,1.5556,1.8565,76283928.4
114,2021-03-31,1.8554,2.0030,1.7555,1.8848,82102882.4
115,2021-04-01,1.8854,2.0837,1.8415,1.9656,48355189.3
116,2021-04-02,1.9654,2.0424,1.8852,1.9672,26924509.2
117,2021-04-03,1.9672,1.9694,1.7154,1.7268,26808227.3
118,2021-04-04,1.7267,1.8648,1.6946,1.8379,22059257.1
119,2021-04-05,1.8379,1.8711,1.7328,1.8058,21556330.0
120,2021-04-06,1.8060,1.9481,1.7503,1.9329,40404117.7
121,2021-04-07,1.9329,1.9517,1.5900,1.7139,44197159.8
122,2021-04-08,1.7134,1.8663,1.7050,1.8546,20267410.6
123,2021-04-09,1.8545,2.3800,1.8277,2.1617,81253003.1
124,2021-04-10,2.1618,2.3777,2.0888,2.1748,60166377.3
125,2021-04-11,2.1762,2.2592,2.0310,2.1353,27362925.1
126,2021-04-12,2.1354,2.1941,2.0369,2.1366,21108429.4
127,2021-04-13,2.1367,2.4100,2.1005,2.3011,39788134.5
128,2021-04-14,2.3005,2.3589,2.0550,2.1648,31346073.6
129,2021-04-15,2.1652,2.2529,2.1078,2.2041,21675541.2
130,2021-04-16,2.2046,2.2208,1.9748,2.0802,27687766.8
131,2021-04-17,2.0802,2.2137,2.0322,2.0356,23134286.4
132,2021-04-18,2.0370,2.0510,1.4222,1.7644,51197118.2
133,2021-04-19,1.7644,1.8663,1.5693,1.5847,28311469.4
134,2021-04-20,1.5849,1.7641,1.4454,1.7059,33523884.3
135,2021-04-21,1.7058,1.8119,1.6252,1.6379,27944911.1
136,2021-04-22,1.6383,1.7898,1.4750,1.4906,36264993.6
137,2021-04-23,1.4906,1.5450,1.2367,1.4723,46154663.0
138,2021-04-24,1.4722,1.4729,1.3095,1.3234,18486761.7
139,2021-04-25,1.3235,1.4577,1.2548,1.3396,18419841.2
140,2021-04-26,1.3397,1.5427,1.3243,1.5235,18235514.5
141,2021-04-27,1.5231,1.8855,1.5028,1.8298,41612627.8
142,2021-04-28,1.8290,1.8572,1.6200,1.7091,26617102.7
143,2021-04-29,1.7099,1.7649,1.5948,1.6720,18215595.0
144,2021-04-30,1.6721,1.8163,1.6287,1.8046,17669296.1
145,2021-05-01,1.8039,2.0295,1.7651,1.9459,34320059.4
146,2021-05-02,1.9464,1.9658,1.7929,1.8689,26052486.9
147,2021-05-03,1.8690,1.9748,1.8448,1.9042,19021685.2
148,2021-05-04,1.9041,1.9053,1.6517,1.6798,28599941.0
149,2021-05-05,1.6803,1.8964,1.6596,1.8833,24038476.5
150,2021-05-06,1.8831,2.1087,1.8324,2.0569,45137161.6
151,2021-05-07,2.0579,2.2317,1.9462,2.0160,54667463.9
152,2021-05-08,2.0167,2.0694,1.9102,1.9570,21894036.1
153,2021-05-09,1.9574,2.0031,1.8378,1.9589,23967657.7
154,2021-05-10,1.9582,2.0291,1.6311,1.7399,36371705.0
155,2021-05-11,1.7411,1.8814,1.6640,1.8667,28411182.9
156,2021-05-12,1.8672,2.0439,1.6030,1.6432,51924787.6
157,2021-05-13,1.6499,1.7673,1.5136,1.6095,44892133.8
158,2021-05-14,1.6101,1.7693,1.5885,1.7037,22175122.0
159,2021-05-15,1.7047,1.7281,1.5318,1.5536,26056520.8
160,2021-05-16,1.5518,1.7014,1.4727,1.5684,24192618.9
161,2021-05-17,1.5697,1.5749,1.3897,1.4667,24902806.9
162,2021-05-18,1.4670,1.7074,1.4473,1.6021,38357621.4
163,2021-05-19,1.6016,1.6407,0.7614,0.9897,72619734.3
164,2021-05-20,0.9886,1.1931,0.8835,1.1557,61994664.7
165,2021-05-21,1.1554,1.2200,0.8926,1.0343,51912686.6
166,2021-05-22,1.0343,1.0496,0.8841,0.9575,36607021.8
167,2021-05-23,0.9577,0.9859,0.6218,0.7931,49609526.9
168,2021-05-24,0.7931,0.9936,0.7778,0.9866,45232367.2
169,2021-05-25,0.9865,1.0302,0.8831,0.9768,27864037.9
170,2021-05-26,0.9784,1.1499,0.9625,1.1478,22901468.8
171,2021-05-27,1.1482,1.1868,1.0200,1.1010,22384272.0
172,2021-05-28,1.1014,1.1232,0.9241,0.9633,26352506.8
173,2021-05-29,0.9638,1.0055,0.8425,0.8973,14741791.5
174,2021-05-30,0.8979,0.9893,0.8415,0.9364,14358492.5
175,2021-05-31,0.9364,1.0221,0.8866,1.0197,16308788.6
176,2021-06-01,1.0196,1.0518,0.9804,1.0253,18444079.4
177,2021-06-02,1.0253,1.2275,1.0176,1.1468,74829076.2
178,2021-06-03,1.1471,1.2341,1.0928,1.1863,30390585.9
179,2021-06-04,1.1865,1.1872,1.0171,1.0659,24100941.5
180,2021-06-05,1.0666,1.1393,1.0066,1.0390,18878003.9
181,2021-06-06,1.0387,1.0777,1.0301,1.0603,11781395.8
182,2021-06-07,1.0603,1.0828,0.9421,0.9521,15264187.0
183,2021-06-08,0.9525,0.9678,0.8276,0.9507,29146923.6
184,2021-06-09,0.9505,0.9836,0.9211,0.9652,31249038.8
